,name,desc_sub,location,origin,roast,est_price,review_date,agtron,aroma,acid,body,flavor,aftertaste,with_milk,desc_1,desc_2,desc_3
10,Auromar Gesha Natural,"Delicate, crisply sweet. Dried coconut, baker’s ch","Topeka, Kansas","Piedra Candela, Chiriqui Province, far western Panama",Light,$40.00/8 ounces,December 2017,63/85,8.0,9.0,9.0,9.0,8.0,,"Delicate, crisply sweet. Dried coconut, baker’s chocolate, candied violet, cedar, nutmeg in aroma and cup. Balanced, sweet-tart structure; silky mouthfeel. The gently drying finish is carried by notes of chocolate-toned coconut in the short and cedar in the long, with a whisper of sweet candied violet.","Produced from trees of the rare Ethiopia-derived botanical variety Gesha (also Geisha) by farmer Roberto Brenes of Auromar Estate. With its generally elongated beans and distinctive floral and crisp, often chocolaty cup, the Gesha variety continues to distinguish itself as one of the world’s most unique coffees. This is a dry-processed or “natural” Gesha, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Roasted at PT’s Coffee, where the motto is “without the love, it’s just coffee.” Visit www.ptscoffee.com or call 888-678-5282 for more information.","A crisp, deeply sweet natural-processed Gesha cup: chocolaty, fruit-toned and floral."
11,“Naturals”,"Sweet-toned, fruit-forward. Raspberry, cedar, bake","Captain Cook, Hawaii","Captain Cook, North Kona growing district, “Big Island” of Hawaii",Medium-Light,$30.00/8 ounces,December 2017,54/78,9.0,8.0,8.0,9.0,8.0,,"Sweet-toned, fruit-forward. Raspberry, cedar, baker’s chocolate, gardenia, molasses in aroma and cup. Bittersweet structure; velvety mouthfeel. The crisp, gently drying finish leads with notes of chocolate-toned berries in the short, and spicy-sweet florals and aromatic wood notes in the long.","Certified organic. Produced entirely from trees of the Kona Typica variety of Arabica. This is a “natural” or dry-processed coffee, meaning the beans were dried inside the fruit, encouraging a flavor profile that is sweeter and deeper-toned than profiles associated with the more typical wet or “washed” process (fruit is removed before drying). Hala Tree Coffee is a family-owned organic Kona coffee farm located near Captain Cook village, in the heart of the Kona coffee belt, overlooking historic Kealakekua Bay. The USDA organic-certified property now produces 100% Kona coffee that is processed and roasted on site to ensure quality in each bag of coffee. For more information, visit www.halatreecoffee.com.","A fruit-driven, but crisp natural-processed Kona cup that’s also certified organic.Click here for more information about coffees from Hawaii."
12,Finca Merced Guatemala,"Richly sweet, high-toned. Maple syrup, orange zest","Sacramento, California","Chimaltenango Department, Guatemala",Light,$17.00/12 ounces,December 2017,58/84,9.0,8.0,9.0,9.0,8.0,,"Richly sweet, high-toned. Maple syrup, orange zest, roasted cacao nib, peach, cedar in aroma and cup. Sweet-tart structure; satiny mouthfeel. The resonant finish has a throughline of roasted cacao nib, accompanied by notes of peach and maple syrup in the short and orange zest and cedar in the long. ","Produced by the Ortega family entirely from trees of the heirloom Bourbon variety of Arabica. This is a wet-processed or “washed” coffee, meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying. Chocolate Fish is a distinguished New-Zealand-inspired micro-roaster based in Sacramento California, focused on the best in both quality and integrity.Visit www.chocolatefishcoffee.com or call 916-451-5181 for more information.","A sweetly bright, cocoa-toned Guatemala cup with engaging stone fruit and aromatic wood complications."
13,El Peñon Nicaragua,"Vibrant, richly sweet, clear-toned. Roasted cacao ","Lee, Massachusetts","Jinotega, Nicaragua",Light,$17.95/12 ounces,December 2017,61/93,9.0,9.0,8.0,9.0,9.0,,"Vibrant, richly sweet, clear-toned. Roasted cacao nib, ginger blossom, dried fig, sandalwood, sugar cane in aroma and cup. Lushly sweet-tart in structure with juicy acidity; crisp, velvety mouthfeel. The deep, resonant finish is flavor-laden, fulfilling the promise of the cup with spicy floral notes in the short and cocoa-toned fruit in the long.","Produced by Markus Fisher at Finca La Bastilla entirely from trees of the respected Red Catuai variety of Arabica. Processed by the wet or “washed” method, in which skin and fruit flesh are removed from the beans or seeds before they are dried. Barrington Coffee is an artisan roaster dedicated to elite coffees, fresh delivery and roasting that foregrounds the coffee and not the roast. Visit www.barringtoncoffee.com or call 800-528-0998 for more information.","Coffee Review’s highest scoring Nicaragua coffee of 2017: crystalline in structure, intensely aromatic, deeply and richly sweet."
14,Static Kenya Kavutiri,"Delicate, sweetly spice-toned. Red currant, lemon ","Chino, California","Kiambu County, south-central Kenya",Medium-Light,$25.00/12 ounces,December 2017,53/79,9.0,8.0,8.0,9.0,8.0,,"Delicate, sweetly spice-toned. Red currant, lemon verbena, baker’s chocolate, rose hips, a hint of cannabis in aroma and cup. Crisply sweet-savory structure; crisp, velvety mouthfeel. The finish is sweetly herb-toned, leading with notes of lemon verbena and red currant in the short and a sweet muskiness akin to cannabis in the long, with a throughline of baker’s chocolate.","Produced by smallholding farmers from trees of the Ruiru 11, Batian, SL28 and SL34 varieties of Arabica. Despite grower discontent and urban encroachment on prime coffee lands, Kenya continues to produce some of the world’s most elegant and distinctive coffees. Espresso Republic, founded in 2010, specializes in sourcing quality coffees and roasting them in small batches for both retail and wholesale customers. Visit www.espressorepublic.com for more information.","A delicate, spice-driven Kenya cup with engaging undercurrents of fruit, floral and chocolate.Click here for more information about coffees from Kenya."
15,Kenya Gicherori,"Sweetly savory, layered. Rhododendron-like flowers","San Diego, California","Kiambu County, south-central Kenya",Medium-Light,$24.00/12 ounces,December 2017,50/74,8.0,8.0,8.0,9.0,8.0,,"Sweetly savory, layered. Rhododendron-like flowers, cinnamon, baker’s chocolate, cedar, red currant in aroma and cup. Round, savory-leaning structure; crisp, velvety mouthfeel. The quiet finish centers on notes of vanilla-like florals and baker’s chocolate, with a hint of cinnamon. ","Despite grower discontent and urban encroachment on prime coffee lands, Kenya continues to produce some of the world’s most elegant and distinctive coffees. AA is the highest grade of Kenya coffee based on freedom from physical imperfections and bean size. The WestBean is a San Diego-based roastery founded by two friends with a passion for coffee and a determination to bring their customers the highest quality hand-crafted coffee possible. Visit www.thewestbean.com or call 619-709-3232 for more information.","A round, sweetly savory Kenya enlivened by the quiet intrigue of vanilla-like flowers and crisp chocolate.Click here for more information about coffees from Kenya."
16,Ethiopia Yirgacheffe,"Richly sweet, chocolate-toned. Molasses, baker’s c","Clark, Wyoming","Yirgacheffe growing region, southern Ethiopia",Medium,$13.99/12 ounces,February 2018,45/75,8.0,8.0,8.0,8.0,8.0,,"Richly sweet, chocolate-toned. Molasses, baker’s chocolate, lily, cedar, black peppercorn in aroma and cup. Bittersweet structure with round, gentle acidity; velvety-smooth mouthfeel. The finish is thoroughly chocolate-toned, leading with baker’s chocolate in the short complicated by deep florals and aromatic wood, rounding to cocoa powder and molasses in the long.","Coffees from the Yirgacheffe region are produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. Like virtually all southern Ethiopia coffees, this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops. Processed by the wet or washed method (fruit skin and pulp are removed before drying). Mystic Monk Coffee is a small-batch roaster associated with a Carmelite monastery located in the Rocky Mountains of northern Wyoming. The monks emphasize an artisan approach to roasting and a commitment to quality. Visit www.mysticmonkcoffee.com or call 877-751-6377 for more information.","A resonant, chocolate-toned Yirgacheffe cup, deeply sweet with floral and aromatic wood undertones.Click here for more information about coffees from Ethiopia."
17,Gedeb Ethiopia,"Deeply sweet, intensely pungent. Dark chocolate, t","Madison, Wisconsin","Gedeb District, Gedeo Zone, southern Ethiopia",Medium-Light,$18.75/12 ounces,January 2018,58/82,9.0,9.0,9.0,9.0,9.0,,"Deeply sweet, intensely pungent. Dark chocolate, tangerine zest, star jasmine, maple syrup, frankincense in aroma and cup. Deeply sweet-toned in structure with lively, bright acidity; satiny mouthfeel. The finish is as elegant as the cup implies: flavor-saturated, floral-, chocolate- and fruit-toned in both short and long.","Southern Ethiopia coffees like this one are produced from traditional Ethiopian varieties of Arabica long grown in the region. This is a wet-processed or “washed” coffee, meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying. Like virtually all southern Ethiopia coffees, this coffee is produced by villagers on small, garden plots interplanted with food and other subsistence crops. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.","A big, juicy wet-processed Ethiopia cup laden with rich floral and fruit tones throughout, all enveloped in dark chocolate.Click here for more information about coffees from Ethiopia."
18,Civet Yirgacheffe Sisota,"Richly savory, sweetly herb-toned. Baker’s chocola","Taichung City, Taiwan","Sidamo growing region, south-central Ethiopia",Medium-Light,$206.00/8 ounces,January 2018,54/78,9.0,8.0,9.0,9.0,8.0,,"Richly savory, sweetly herb-toned. Baker’s chocolate, fennel, black cherry, cedar, wisteria-like flowers in aroma and cup. Round, deeply sweet in structure; syrupy mouthfeel. The cocoa-toned finish leads with black cherry in the short, which settles into a cedar-toned flowers in the long. ","The cup profile of this coffee owes its originality to a complex, overlapping set of influences. First, tree variety: It was produced from heirloom varieties grown only in southern Ethiopia. Second, processing method: It was processed using a variation of the honey method, in which only the skins are removed from the coffee fruit and the beans are dried still enveloped in all or part of the fruit pulp. Finally, the beans were exposed to cultured strains of bacteria extracted from the excrement of the civet cat, making this a laboratory version of the famous kopi luwak, the coffee passed through the intestines of a civet cat or luwak. Good Chance Biotechnology., Ltd. is a Taiwan-based specialty coffee company. For more information, visit http://www.magiccat.pro/ or email [email protected]",An impressively rich sweet-savory cup with a throughline of fennel-like herb notes. Interesting both for its unusual cup and its unusual processing variation.Click here for more information about coffees from Ethiopia.
19,Civet Ethiopia Papilio Sidamo,"Delicately sweet-tart, fruit-toned. Strawberry, ag","Taichung City, Taiwan","Sidamo growing region, south-central Ethiopia",Medium-Light,$206.00/8 ounces,January 2018,54/78,9.0,8.0,9.0,9.0,8.0,,"Delicately sweet-tart, fruit-toned. Strawberry, aged rum, cocoa powder, pink peppercorn, celery seed in aroma and cup. Sweetly fermenty in structure; satiny-smooth in mouthfeel. A hint of aged rum carries the finish, accompanied by berry notes in the short and spice-toned savory notes in the long.","The cup profile of this coffee owes its originality to a complex, overlapping set of influences. First, tree variety: It was produced from heirloom varieties grown only in southern Ethiopia. Second, processing method: It is a “natural” or dry-processed coffee, meaning the beans were dried inside the fruit, encouraging a flavor profile that is sweeter and deeper-toned than profiles associated with the more typical wet or “washed” process the which the soft fruit residue is removed before drying. Finally, the beans were exposed to cultured strains of bacteria extracted from the excrement of the civet cat, making this a laboratory version of the famous kopi luwak, the coffee passed through the intestines of a civet cat or luwak. Good Chance Biotechnology., Ltd. is a Taiwan-based specialty coffee company. For more information, visit http://www.magiccat.pro/ or email [email protected]","A Sidamo coffee processed by the dry or natural method and treated with a cultured essence of kopi luwak that together net richly ripe fruit notes, cocoa tones, and a pleasing hint of sweet ferment.Click here for more information about coffees from Ethiopia."
20,Estate Carbonic Maceration,"Gently bittersweet, deeply floral-toned. Baker’s c","Pahala, Hawaii","Ka'u growing region, Big Island of Hawaii",Medium-Light,$29.48/8 ounces,January 2018,58/71,8.0,8.0,8.0,8.0,8.0,,"Gently bittersweet, deeply floral-toned. Baker’s chocolate, aromatic orchid, hazelnut, oak in aroma and cup. Low-toned, crisply bittersweet in structure. Mouthfeel is light though silky. The finish consolidates to a rich, oaky chocolate.   ","Ka’u is an emerging Hawaii coffee-growing district centered approximately 30 miles southeast of the famous Kona region. This Ka’u is produced by the Palehua Ohana Cooperative of small-holding Ka’u farmers, an organization dedicated to impeccable socio-economic and environmental practices. Carbonic maceration is an innovative variation on the wet or “washed” method, in which the whole coffee fruit is fermented in a carbon-dioxide rich environment before the fruit residue is removed and the beans are dried. The goal is to improve the clarity and sweetness of fruit notes. The method is being pioneered by Sasa Sestic, an Australian barista champion. Visit www.kauspecialtycoffee.com for more information.","Delicately bittersweet and cocoa-toned, with flowers hinting at lushness.Click here for more information about coffees from Hawaii."
21,Ethiopia Banko Gotiti,"Resonantly fruit-forward, elegant, complex. Honey,","Floyd, Virginia","Kochere, Yirgacheffe growing region, south-central Ethiopia",Light,$16.99/12 ounces,January 2018,65/93,9.0,9.0,9.0,9.0,8.0,,"Resonantly fruit-forward, elegant, complex. Honey, dried raspberry, chocolate truffle, aged rum, a hint of marjoram in aroma and cup. Juicy, rich structure with bright, vibrant acidity; full, satiny mouthfeel. A suggestion of sweet marjoram complicates the rich, flavor-saturated finish, which leads with honey and raspberry notes in the short, rounding to chocolate and aged rum in the long.","Southern Ethiopia coffees like this one are produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. Like virtually all southern Ethiopia coffees, this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops. This is a dry-processed or “natural” coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. This coffee is certified organically grown and Fair Trade Certified, meaning it was purchased from small-holding farmers at a “fair” or economically sustainable price. Established in 2010, Red Rooster is an organic-certified micro-roaster focusing on socially conscious coffee and high-quality coffee. Visit redroostercoffee.com or call 540-745-7338 for more information.","A juicy-sweet Ethiopia natural cup: lively and fruit-toned, with a hint of elegant, rum-like sweet ferment.Click here for more information about coffees from Ethiopia."
22,Colombia David Gomez 100% Caturra,"Crisply sweet, spice-toned. Dried papaya, caramel,","San Diego, California","Huila Department, southern Colombia",Light,$17.00/12 ounces,January 2018,63/85,8.0,9.0,8.0,9.0,8.0,,"Crisply sweet, spice-toned. Dried papaya, caramel, tangerine zest, pink-peppercorn, vanilla in aroma and cup. High-toned, sweetly tart in structure with juicy, bright acidity; lean, though satiny-smooth mouthfeel. The resonant, richly drying finish is laden with sweet notes of caramel and papaya in the short, turning more savory-leaning in the long, with hints of pink peppercorn wrapped in vanilla. ","Produced by David Gomez of of El Balso Farm entirely from trees of the Caturra variety of Arabica. Like almost all Colombia coffees, this coffee is wet-processed or “washed,” meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying. Huila is one of Colombia’s most respected coffee-growing regions. Husband and wife team Samantha and Weston Nawrocki founded Manzanita Roasting on their family’s 127-year-old winery in San Diego. Committed to quality direct-trade sourcing and skillful roasting, they are happy to be a part of what they call San Diego’s new “coffee frontier.” Visit www.manzanitaroasting.com for more information.","Engaging Colombia cup with impressively juicy, bright acidity and zesty, spice-toned aromatics."
23,Panama Auromar Estate Geisha Peaberry,"Resonantly bright, floral-toned. Jasmine, frankinc","San Diego, California","Piedra Candela, Chiriqui Province, far western Panama",Medium-Light,$51.00/8 ounces,January 2018,53/81,10.0,9.0,9.0,9.0,8.0,,"Resonantly bright, floral-toned. Jasmine, frankincense, cardamom, toffee, apricot in aroma and cup. Balanced, sweetly tart structure with juicy acidity; crisp, velvety mouthfeel. The deep, flavor-saturated finish leads with caramel-toned apricot in the short, with rich florals resurfacing in the long. ","Regrettably, this fine coffee sold out before the publication of our review. Produced from trees of the rare Ethiopia-derived botanical variety Gesha (also Geisha) by farmer Roberto Brenes of Auromar Estate. With its generally elongated beans and distinctive floral and crisp, often chocolaty cup, the Gesha variety continues to distinguish itself as one of the world’s most unique coffees. This is a dry-processed or “natural” Gesha, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. This sample also consists entirely of peaberries, a kind of bean that results when the coffee fruit develops only a single, oval bean rather than the usual pair of flat-sided beans. Peaberries produce a somewhat different (often better) cup than normal beans from the same crop, from which they may or may not be separated during grading. Based in the San Diego area, Bird Rock Coffee Roasters is a retailer and wholesaler focused on organic and socially responsible coffees; it was awarded the “2012 Micro-Roaster of the Year” title from Roast Magazine. Visit www.birdrockcoffee.com or call 858-551-1707 for more information.","A vibrant, exhilarating natural-processed peaberry Gesha saturated with rich floral, spice and fruit aromas and flavors throughout the profile."
24,Indonesia Emerald Mandheling,"Deeply rich, spicy sweet. Pear, cedar, vanilla, gr","Hong Kong, China","Gayo (also Aceh) growing region, Aceh Province, northern Sumatra, Indonesia",Medium-Light,HKD $140/227 grams,January 2018,54/78,9.0,8.0,8.0,9.0,8.0,,"Deeply rich, spicy sweet. Pear, cedar, vanilla, grapefruit zest, cumin in aroma and cup. Tartly bittersweet in structure; full, syrupy though drying mouthfeel. Resonant finish consolidates around pear and a floral-toned vanilla. ","Coffees from the northern part of the Indonesian island of Sumatra are valued for their complex aromatic wood and fruit notes that appear to result largely from unorthodox fruit removal and drying practices called “wet-hulling.” This is a refined example of the type. A.R.C., whose motto is “more than specialty,” rigorously controls three vital elements: sourcing of green coffee, roasting, and, in cafe environments, water quality for brewed coffee. For more information, visit http://www.arc.coffee/en/index.html.","Complex and dynamic in structure, balancing tart, sweet and bitter, with deeply layered and complex aromatics."
