,Unnamed: 0,name,roaster,roast,loc_country,origin,100g_USD,rating,review_date,review,Fruity_count,Tropical_count,Citrusy_count,Woody_count,Berry_count,Sweet_count,Candy_count,Nutty_count,Creamy_count,Herbal_count,Chocolaty_count,Floral_count,Texture_count,Character_count,Acidity / Spicy_count,max_match_key,Fruity,Tropical,Citrusy,Woody,Berry,Sweet,Candy,Nutty,Creamy,Herbal,Chocolaty,Floral,Texture,Character,Acidity / Spicy
54,54,Kenya AA Karamundi,Revel Coffee,Medium-Light,United States,Kenya,4.56,92,February 2018,"Delicate, sweetly tart. Roasted cacao nib, honeysuckle, tamarind, spearmint, plum in aroma and cup. Balanced structure with brisk acidity; crisp, satiny mouthfeel. Bittersweet in the short finish and sweetly wood-framed in the long.",3,0,0,1,0,2,0,0,0,1,1,0,2,1,2,Fruity,3,0,0,1,0,2,0,0,0,1,1,0,2,1,2
113,113,Burundi Nkonge Hill Red Honey,Caffeic,Medium,United States,Burundi,4.41,93,July 2018,"Sweetly roast-rounded, richly savory. Dark caramel, pipe tobacco, date, almond, hops in aroma and cup. Sweet-savory in structure with rounded acidity; plump, syrupy mouthfeel. The finish leads with notes of date and pipe tobacco in the short, with almond and hops returning in the long. ",3,0,0,0,0,2,1,1,0,1,0,0,0,0,2,Fruity,3,0,0,0,0,2,1,1,0,1,0,0,0,0,2
329,329,Panama Finca San Sebastian,Jackrabbit Java,Medium-Light,United States,Panama,3.53,94,August 2019,"Rich-toned, chocolaty, exquisitely balanced. Chocolate fudge, pink grapefruit zest, cherry, sandalwood, narcissus in aroma and cup. Sweetly tart structure with bright, juicy acidity; plush, syrupy mouthfeel. The finish consolidates to notes of chocolate fudge and citrus-toned sandalwood.",3,0,2,2,0,3,1,0,0,1,2,0,1,0,1,Fruity,3,0,2,2,0,3,1,0,0,1,2,0,1,0,1
369,369,Ethiopia Yirgacheffe Aricha G1,Chez Cafe,Medium-Light,Taiwan,Ethiopia,4.8,93,December 2019,"Crisply sweet, citrus- and cocoa-toned. Cocoo nib, pink grapefruit zest, cedar, narcissus, plum in aroma and cup. Sweet-tart structure with high-toned, lively acidity; full, satiny mouthfeel. The finish consolidates to notes of citrus-toned cocoa and narcissus.",3,0,2,1,0,1,0,0,0,1,1,0,2,1,1,Fruity,3,0,2,1,0,1,0,0,0,1,1,0,2,1,1
660,660,Colombia La Esperanza Winey Natural,Coffee Please,Medium-Light,Taiwan,Colombia,6.63,93,January 2021,"Crisply deep-toned; rich, complex. Dark chocolate, cedar, musk, dried apricot, red wine grape in aroma and cup. Sweet in structure with bright acidity. The rich-toned finish consolidates to red wine grape and musk.",3,0,0,1,1,0,0,0,0,1,1,0,2,1,1,Fruity,3,0,0,1,1,0,0,0,0,1,1,0,2,1,1
49,49,Indonesia Emerald Mandheling,A.R.C.,Medium-Light,Hong Kong,Indonesia,8.02,92,January 2018,"Deeply rich, spicy sweet. Pear, cedar, vanilla, grapefruit zest, cumin in aroma and cup. Tartly bittersweet in structure; full, syrupy though drying mouthfeel. Resonant finish consolidates around pear and a floral-toned vanilla. ",3,0,1,1,0,3,0,0,0,0,0,1,1,0,2,Fruity,3,0,1,1,0,3,0,0,0,0,0,1,1,0,2
133,133,Organic Dulce de Guatemala,Paradise Roasters,Medium-Light,United States,Guatemala,3.51,93,August 2018,"Spice-toned, richly sweet. Honeysuckle, pistachio, baking spices, apricot, molasses in aroma and cup. Sweet-savory in structure with balanced, lively acidity; plump, syrupy mouthfeel. The resonant finish leads with notes of apricot and honeysuckle in the short, rounding to spice-toned pistachio in the long.",3,0,0,0,0,4,0,1,0,0,0,0,0,0,2,Sweet,3,0,0,0,0,4,0,1,0,0,0,0,0,0,2
203,203,Kona Mocca®,Hula Daddy Kona Coffee,Medium,Hawai'i,Hawai'I,19.82,96,November 2018,"Enchantingly rich, intensely floral, unique. Dried black cherry, tea rose, Cognac, chocolate fudge, gently scorched almond wood in aroma and cup. Deeply sweet-savory in structure with crisp, apple-toned acidity; plump, syrupy mouthfeel. Exceptionally long finish that carries over all the aroma and flavor notes from the cup, plus an umami intrigue akin to candied bacon.",3,0,0,1,0,2,2,1,0,0,1,2,2,0,1,Fruity,3,0,0,1,0,2,2,1,0,0,1,2,2,0,1
412,412,Ethiopia FTO,Equator Coffees,Medium-Light,United States,Ethiopia,5.29,92,February 2020,"Crisp, delicately sweet-toned. Bergamot, Fig Newton, baking chocolate, magnolia, cedar in aroma and cup. Sweet structure with gentle, round acidity; velvety-smooth mouthfeel. A crisp finish consolidates to notes of baking chocolate, dried fig, and cedar.",3,0,0,1,0,0,0,0,0,0,1,1,3,0,1,Fruity,3,0,0,1,0,0,0,0,0,0,1,1,3,0,1
439,439,DR Congo Muungano Co-op South Kivu,Temple Coffee Roasters,Medium-Light,United States,Democratic Republic Of The Congo,5.88,93,April 2020,"Sweetly-spiced toned, deeply rich. Caramel, bergamot flower, fig newton, candied apple, cedar in aroma and cup. Richly bittersweet structure with vibrant acidity; crisp yet velvety mouthfeel. The finish consolidates to notes of bergamot and caramel.",3,0,0,1,0,0,2,0,0,0,0,1,1,0,3,Fruity,3,0,0,1,0,0,2,0,0,0,0,1,1,0,3
548,548,Guatemala Carlos Rivas,Kaldi's Coffee,Medium-Light,United States,Guatemala,5.29,93,September 2020,"Richly sweet-savory, chocolate-toned. Dark chocolate, date, pralines, tiger lily, a hint of cumin in aroma and cup. Sweet-savory structure with gentle, round acidity; plump, syrupy mouthfeel. Gently drying finish is chocolaty through and through with undertones of pralines and flowers.",3,0,0,0,0,2,0,0,0,0,2,2,1,0,1,Fruity,3,0,0,0,0,2,0,0,0,0,2,2,1,0,1
573,573,Kenya Baragwi Guama AB,Flight Coffee Co.,Medium-Light,United States,Kenya,5.0,95,October 2020,"Crisply sweet, richly savory, floral-toned. Peach, lilac, ripe sungold cherry tomato, almond brittle, frankincense in aroma and cup. Sweet-umami structure with jazzy acidity; very syrupy-smooth mouthfeel. The flavor-saturated finish carries over the promise of all the flavor notes from the cup. ",3,0,0,0,0,2,0,1,0,0,0,2,3,1,2,Fruity,3,0,0,0,0,2,0,1,0,0,0,2,3,1,2
597,597,Coffea Diversa Rume Sudan Winey,Paradise Roasters,Light,United States,Guatemala,17.59,95,October 2020,"Delicate, tropical, fruity and floral. Strawberry guava, bergamot, cocoa nib, sandalwood, plumeria in aroma and cup. Sweet-toned structure with juicy, vibrant acidity; silky, buoyant mouthfeel. Resonant, flavor-saturated, very long finish.",3,2,0,3,2,0,0,0,0,0,1,1,3,1,1,Fruity,3,2,0,3,2,0,0,0,0,0,1,1,3,1,1
713,713,Ethiopia Halo Hartume Daniel Mijane,Old World Coffee Lab,Medium-Light,United States,Ethiopia,5.58,94,March 2021,"Delicately vibrant, crisply sweet-tart. Peach, cocoa nib, lilac, pink grapefruit zest, pistachio in aroma and cup. Balanced, sweetly tart in structure; richly silky mouthfeel. The satisfying finish consolidates to notes of cocoa-toned stone fruit.",3,0,1,0,0,1,0,1,0,0,1,1,4,0,0,Texture,3,0,1,0,0,1,0,1,0,0,1,1,4,0,0
821,821,Yemen Mocha Harazi,Dragonfly Coffee Roasters,Medium-Light,United States,Yemen,15.43,93,July 2021,"Crisply spice-toned. Molasses, dried cherry, clove, cashew, grapefruit zest in aroma and cup. Sweet-toned structure with brisk acidity; lightly syrupy mouthfeel. The finish consolidates to notes of molasses, clove and cashew.",3,0,1,0,0,3,0,1,0,0,0,0,2,0,3,Fruity,3,0,1,0,0,3,0,1,0,0,0,0,2,0,3
270,270,Monarch Gesha,Equator Coffees,Medium-Light,United States,Hawai'I,37.04,94,May 2019,"Floral and sweetly herbaceous with richly framed depth. Jasmine, spearmint, chocolate, watermelon, fine musk in aroma and cup. Deeply sweet structure with vibrant, juicy acidity; plush, syrupy mouthfeel. The resonant, flavor-saturated finish centers around chocolate and jasmine with musk undertones.",2,0,0,0,0,2,0,0,0,4,1,2,1,1,1,Herbal,2,0,0,0,0,2,0,0,0,4,1,2,1,1,1
768,768,Ethiopia Guji Uraga Yabitu,Sunny's Coffee,Light,Japan,Ethiopia,9.22,92,May 2021,"Citrusy and sweetly herbaceous, cocoa-toned. Cocoa nib, marjoram, pink grapefruit zest, nougat, cedar in aroma and cup. Sweetly savory with juicy acidity; silky-smooth mouthfeel. The finish consolidates to notes of cocoa nib, marjoram and nougat.",2,0,3,1,0,0,1,0,0,3,1,0,3,0,1,Citrusy,2,0,3,1,0,0,1,0,0,3,1,0,3,0,1
1127,1127,Ethiopia Gigesa Natural,Espresso Republic,Medium-Light,United States,Ethiopia,4.69,93,July 2022,"Fruit-centered, sweetly herbaceous. Bing cherry, marjoram, honeysuckle, salted caramel, fresh-cut oak in aroma and cup. Sweetly tart with brisk acidity; full, syrupy-smooth mouthfeel. The crisply sweet finish consolidates around notes of honeysuckle and oak.",2,0,0,1,0,4,1,0,0,3,0,0,3,0,2,Sweet,2,0,0,1,0,4,1,0,0,3,0,0,3,0,2
141,141,Ethiopia Yirgacheffe Natural Espresso,Dragonfly Coffee Roasters,Medium-Light,United States,Ethiopia,5.29,94,September 2018,"Evaluated as espresso. Elegantly fruit-toned and floral. Dried apricot, lychee, sandalwood, cashew butter, honeysuckle in aroma and small cup. Plush, creamy mouthfeel; rich, resonant finish driven predominantly by notes of dried apricot and sandalwood. In three parts milk, an intriguing marjoram-like note surfaces, along with notes of deep fruit, aromatic wood, and a distinct sweet floral.",1,1,0,2,0,1,0,1,3,1,0,1,0,1,0,Creamy,1,1,0,2,0,1,0,1,3,1,0,1,0,1,0
636,636,Kona Lactic Natural Black Rock Farm,Paradise Roasters,Medium-Light,United States,Hawai'I,22.0,93,November 2020,"Sweetly tart, deeply savory. Baking spices, caramel, goat milk yogurt, baking chocolate, violet in aroma and cup. Sweet-savory structure with pert acidity; viscous, creamy mouthfeel. A delicate finish consolidates to baking spices with goat milk undertones.",1,0,0,0,0,1,1,0,3,0,1,1,2,0,2,Creamy,1,0,0,0,0,1,1,0,3,0,1,1,2,0,2
897,897,Guatemala Finca El General Slow Dry 6,Kakalove Cafe,Medium-Light,Taiwan,Guatemala,5.31,94,October 2021,"Gently fruit-toned, sweetly herbaceous. Dried apricot, marjoram, cocoa nib, lilac, almond butter in aroma and cup. Sweetly tart with vibrant, inviting acidity; very full, satiny mouthfeel. Cocoa tones in the finish are supported by suggestions of marjoram and a hint of lilac.",1,0,0,0,0,1,0,1,1,3,1,1,0,1,1,Herbal,1,0,0,0,0,1,0,1,1,3,1,1,0,1,1
135,135,Guatemala Finca El Limonar Hugo Chavez Mendez,Soul Work Coffee,Medium-Light,United States,Guatemala,5.88,92,August 2018,"Crisp, delicate, sweetly herbaceous. Roasted cacao nib, lemon verbena, almond brittle, date, freesia-like flowers in aroma and cup. Sweetly tart structure with bright, citrusy acidity; delicate, silky mouthfeel. The resonant finish is crisply sweet and richly drying, with notes of lemon verbena and cocoa nib.",1,0,3,0,0,1,0,1,0,3,2,2,5,0,1,Texture,1,0,3,0,0,1,0,1,0,3,2,2,5,0,1
185,185,Costa Rica Geisha Honey COE 2018 2nd Place,Dragonfly Coffee Roasters,Medium-Light,United States,Costa Rica,19.84,94,November 2018,"Rich, high-toned, sweetly herbaceous. Lemon verbena, roasted almond, black cherry, narcissus, black peppercorn in aroma and cup. Savory-sweet structure with high-toned, lively acidity; plush, syrupy mouthfeel. The finish leads with black cherry and narcissus in the short, with notes of almond and peppercorn in the long, and an undercurrent of lemon verbena throughout.",1,0,1,0,0,2,0,1,0,3,0,1,0,0,2,Herbal,1,0,1,0,0,2,0,1,0,3,0,1,0,0,2
218,218,Bombe Natural Sidama,Broadsheet Coffee,Medium-Light,United States,Ethiopia,6.17,92,February 2019,"Fruit-forward, sweetly herbaceous. Raspberry coulis, lemon verbena, cacao nib, sandalwood, freesia-like flowers in aroma and cup. Crisply sweet-tart structure with brisk acidity; satiny-smooth mouthfeel. The finish consolidates to raspberry and cocoa with a sandalwood throughline underneath.",1,0,1,2,2,1,0,0,0,3,2,2,3,1,1,Herbal,1,0,1,2,2,1,0,0,0,3,2,2,3,1,1
223,223,Ethiopia Yirgacheffe Kochere,Blues Brew Coffee,Medium-Light,Taiwan,Ethiopia,6.4,93,February 2019,"Delicate, sweetly herbaceous. Cocoa nib, bergamot, narcissus-like flowers, black tea, cedar in aroma and cup. Sweet-savory structure with rich, citrusy acidity; full, syrupy mouthfeel. The finish is redolent with notes of bergamot and narcissus in the short, cocoa-toned cedar in the long.",1,0,2,1,0,2,0,0,0,3,1,1,1,0,1,Herbal,1,0,2,1,0,2,0,0,0,3,1,1,1,0,1
273,273,Ka’u Natural,Nine Point Coffee,Medium-Light,Taiwan,Hawai'I,21.6,93,May 2019,"Richly fruit-toned, complexly layered. Cacao nib, jujube (red date), marjoram, freesia-like flowers, fresh pipe tobacco in aroma and cup. Sweetly tart structure with bright acidity; lightly satiny mouthfeel. The rich, long finish is flavor-saturated, consolidating to cocoa, fresh tobacco and marjoram.",1,0,0,0,0,1,0,0,0,3,2,1,0,3,1,Herbal,1,0,0,0,0,1,0,0,0,3,2,1,0,3,1
279,279,Yemen Matari,Baba Java Coffee,Medium,United States,Yemen,12.35,93,May 2019,"Very sweet, richly perfumed, wood-framed. Pipe-tobacco, lychee fruit, spice box, freesia-like flowers, amber and musk in aroma and cup. Richly, densely composed structure, crisply tart acidity. Impressively syrupy-smooth mouthfeel. The finish consolidates pleasantly into a slightly drying though rich-toned, spicy tobacco.",1,1,1,1,0,3,0,0,0,3,0,1,4,0,3,Texture,1,1,1,1,0,3,0,0,0,3,0,1,4,0,3
468,468,Typica Natural,Hala Tree Kona Coffee,Medium,Hawai'i,Hawai'I,14.55,92,June 2020,"Deeply sweet, pleasantly herb-toned. Baking chocolate, spearmint, maple syrup, freesia, hazelnut in aroma and cup. Richly bittersweet structure with brisk acidity; crisp, lightly syrupy mouthfeel. The resonant, nut-toned finish centers around notes of baking chocolate and hazelnut.",1,0,0,0,0,3,0,2,0,3,1,0,1,0,2,Sweet,1,0,0,0,0,3,0,2,0,3,1,0,1,0,2
602,602,Halo Hartume,JBC Coffee Roasters,Medium-Light,United States,Ethiopia,5.29,93,November 2020,"Richly sweet, floral-toned. Freesia, tangerine zest, plum, cedar, a hint of marjoram in aroma and cup. Sweet in structure with high-toned, citrusy acidity; full, satiny-smooth mouthfeel. The savory-sweet finish leads with sweet herb notes followed by spicy florals.",1,0,3,1,0,0,0,0,0,3,0,2,1,1,2,Citrusy,1,0,3,1,0,0,0,0,0,3,0,2,1,1,2
786,786,Ethiopia Yirgacheffe G1 Mulugeta Tsige,GK Coffee,Medium-Light,Taiwan,Ethiopia,8.0,95,June 2021,"Lyrically sweet, gently herb-toned, very complex. Bergamot, star jasmine, cocoa nib, sandalwood, marjoram in aroma and cup. Sweet-tart structure with high-toned, juicy acidity; silky, vibrant mouthfeel. Sweetly herbaceous finish with notes of marjoram supported by cocoa nib.",1,0,0,2,0,1,0,0,0,3,1,1,2,1,1,Herbal,1,0,0,2,0,1,0,0,0,3,1,1,2,1,1
853,853,Cafe Granja La Esperanza Sudan Rume,Plat Coffee Roastery,Medium-Light,Hong Kong,Colombia,17.64,94,September 2021,"Multi-layered, rich, intricately sweet. Lemon balm, apricot, cardamom, cocoa nib, freesia-like flowers in aroma and cup. Sweetly tart with vibrant, juicy acidity; rich, syrupy mouthfeel. The finish leads with notes of lemon and cardamom, rounding to cocoa nib in the long.",1,0,1,0,0,3,0,0,0,3,1,1,1,0,1,Sweet,1,0,1,0,0,3,0,0,0,3,1,1,1,0,1
940,940,Colombia La Estrella Carbonic Maceration,Peach Coffee Roasters,Medium-Light,United States,Colombia,8.23,93,November 2021,"Delicately and confidently sweet. Watermelon candy, lemon-thyme, cocoa nib, freesia, fresh-cut oak in aroma and cup. Sweet-tart structure with brisk acidity; very smooth, full mouthfeel. Sweetly herbaceous finish.",1,0,1,1,0,1,1,0,0,3,1,0,2,0,1,Herbal,1,0,1,1,0,1,1,0,0,3,1,0,2,0,1
1154,1154,Panama Auromar Camilina Geisha Natural,Dragonfly Coffee Roasters,Medium-Light,United States,Panama,44.09,95,July 2022,"Delicately bright, resonantly floral. Narcissus, cardamom, honey, bergamot, marjoram in aroma and cup. Balanced, sweetly tart structure with vibrant acidity; lively, silky mouthfeel. The long, flavor-laden finish leads with notes of bittersweet citrus and narcissus in the short; cardamom and honey resurface in the long.",1,0,1,0,0,2,0,0,0,3,0,1,2,0,2,Herbal,1,0,1,0,0,2,0,0,0,3,0,1,2,0,2
568,568,Ethiopia Shantawene,Jaunt Coffee Roasters,Light,United States,Ethiopia,6.47,92,October 2020,"Sweetly herbaceous, citrusy. Marjoram, lemon verbena, cocoa nib, freesia, maple syrup in aroma and cup. Sweet-savory structure with crisp, winey acidity; satiny mouthfeel. The finish leads with sweet herb notes supported by cocoa nib.",0,0,3,0,2,2,0,0,0,4,1,1,1,1,1,Herbal,0,0,3,0,2,2,0,0,0,4,1,1,1,1,1
974,974,Ethiopia Banko Gotiti Daniel Mijane,Old World Coffee Lab,Medium-Light,United States,Ethiopia,5.58,92,January 2022,"Sweetly herbaceous, citrus-toned. Thyme, lemon balm, cocoa nib, freesia-like flowers, maple syrup in aroma and cup. Sweet-tart structure with balanced acidity; satiny-smooth mouthfeel. The finish leads with sweet herb notes supported by cocoa nib.",0,0,2,0,0,3,0,0,0,4,1,1,1,1,1,Herbal,0,0,2,0,0,3,0,0,0,4,1,1,1,1,1
1121,1121,Philippines Sitio Belis 1017,Mostra Coffee,Medium-Light,United States,Philippines,15.58,93,June 2022,"Sweetly pungent with savory undertones. Lychee, marjoram, cocoa nib, freesia-like flowers, roasted almond in aroma and cup. Crisply sweet structure with juicy acidity; smooth, satiny mouthfeel. Nutty, sweetly herbaceous finish.",0,1,0,0,0,0,0,3,0,4,1,1,4,1,1,Herbal,0,1,0,0,0,0,0,3,0,4,1,1,4,1,1
74,74,Ethiopia Gedeb Gotiti,Tico Coffee Roasters,Light,United States,Ethiopia,5.88,93,April 2018,"High-toned, richly sweet-savory. Mango, honey, lemongrass, oak, narcissus in aroma and cup. Balanced, sweetly savory structure with lively acidity; crisp though velvety mouthfeel. The sweetly herb-toned finish is redolent of lemongrass, supported by mango, honey and a hint of oak.",0,1,1,1,0,1,0,0,0,3,0,0,1,0,1,Herbal,0,1,1,1,0,1,0,0,0,3,0,0,1,0,1
513,513,Indonesian Sumatra Blend,Southeastern Roastery,Medium-Light,United States,Indonesia,5.29,93,August 2020,"Deep-toned, sweetly herbaceous and earthy. Dried stone fruit medley, petrichor, cocoa powder, pipe tobacco, a hint of eucalyptus in aroma and cup. Sweetly savory structure with wine-toned acidity; very full, syrupy-smooth mouthfeel. Gentle spice- and cocoa-toned finish.",0,0,0,1,1,2,0,0,0,3,1,0,1,0,2,Herbal,0,0,0,1,1,2,0,0,0,3,1,0,1,0,2
806,806,Gigesa Natural,JBC Coffee Roasters,Medium-Light,United States,Ethiopia,5.29,95,July 2021,"Richly berry-toned, sweetly herbaceous. Raspberry coulis, lemon verbena, wild honey, cedar, a hint of marjoram in aroma and cup. Sweet structure with vibrant acidity; syrupy-smooth mouthfeel. The fruit-forward finish is supported by sweet herb notes and rich aromatic wood suggesting cedar.",0,0,1,2,2,3,0,0,0,3,0,1,1,1,1,Sweet,0,0,1,2,2,3,0,0,0,3,0,1,1,1,1
842,842,Sudan Rume,JBC Coffee Roasters,Medium-Light,United States,Colombia,13.23,95,August 2021,"Complex, sweetly and intricately herbaceous, citrusy. Lemon verbena, cardamom, cocoa nib, ginger, aromatic orchid in aroma and cup. Sweetly savory with delicately juicy acidity; crisp, silky mouthfeel. Long, resonant, flavor-saturated finish.",0,0,3,0,0,0,0,0,0,3,1,1,4,3,2,Texture,0,0,3,0,0,0,0,0,0,3,1,1,4,3,2
