,est_price,blind_assessment,after_slash,before_slash,before_DOL,rem_D,Euro
12,$26.00/10 ounces,"Intricate, vibrantly floral, citrusy. Lilac, tangerine, almond brittle, sage, wild honey in aroma and cup. High-toned, harmonious structure with elegantly juicy acidity; full, creamy mouthfeel. Flavor-saturated, very long finish. ",10 ounces,$26.00,,26.0,24.439999999999998
13,$17.00/12 ounces,"Balanced, classic, sweetly bright. Blood orange, fresh-cut cedar, almond brittle, quietly complex flowers — freesia, lavender — in aroma and cup. Crisp, sweet-tart structure with smoothly bright acidity. Plush, lightly viscous mouthfeel. Sweet almond and fresh cedar carry the rich, gently drying finish.",12 ounces,$17.00,,17.0,15.979999999999999
14,$24.00/12 ounces,"Massively floral, juicy, cocoa-toned. Distinct cocoa, honeysuckle, tangerine, caramel, cashew in aroma and cup. Deeply sweet, savory-edged in structure, with deep, vibrant acidity. Full, syrupy mouthfeel. The finish is sweet and rich, carrying most notes from the cup far into the long. ",12 ounces,$24.00,,24.0,22.56
15,$17.50/6 ounces,"Gently tart, sweetly herbaceous. Orange zest, pomegranate, cocoa nib, goat milk yogurt, cedar in aroma and cup. Sweet-tart structure with tangy acidity; full, syrupy-smooth mouthfeel. The gently drying finish centers around notes of orange zest and cedar.",6 ounces,$17.50,,17.5,16.45
16,$25.00/12 ounces,"Sweetly tart, chocolaty. Pomegranate, baking chocolate, orange zest, almond, oak in aroma and cup. Tart-leaning structure with brisk acidity; plush, chewy mouthfeel. Crisply chocolaty finish with undertones of pomegranate and almond.",12 ounces,$25.00,,25.0,23.5
17,NT $450/227 grams,"Crisp, delicately fruit-forward. Pomegranate, amber, cocoa nib, marjoram, freesia in aroma and cup. Sweet-toned structure with gentle acidity; crisp, velvety mouthfeel. The finish leads with notes of amber and marjoram with floral undertones.",227 grams,NT $450,NT ,450.0,
18,NT $450/227 grams,"Deeply fruit-toned, richly chocolaty. Dried apricot, dark chocolate, narcissus, cedar, almond in aroma and cup in aroma and cup. Sweetly tart structure with brisk acidity; full, syrupy mouthfeel. The crisp finish consolidates to notes of dried apricot, dark chocolate and cedar.",227 grams,NT $450,NT ,450.0,
19,NT $450/227 grams,"Juicy, richly floral-toned. Lilac, cocoa nib, pink grapefruit zest, almond butter, fresh-cut oak in aroma and cup. Sweet-tart structure with bright, juicy acidity; crisply satiny mouthfeel. The engaging finish leads with notes of lilac and pink grapefruit zest, rounding to almond butter and oak in the long.",227 grams,NT $450,NT ,450.0,
20,$19.00/6 ounces,"Richly chocolaty, sweetly tart. Nectarine, dark chocolate, lemon verbena, lavender, fresh-cut oak in aroma and cup. Sweet structure with high-toned acidity; very full, satiny-smooth mouthfeel. Crisply sweet, chocolaty finish with undertones of lemon verbena and a hint of lavender.",6 ounces,$19.00,,19.0,17.86
21,$19.00/12 ounces,"Elegant, delicately aromatic, floral. Honeysuckle, cocoa nib, pink peppercorn, red plum, pomelo in aroma and cup. Sweetly tart with juicy, balanced acidity; plush, syrupy-smooth mouthfeel. Floral- and cocoa-toned finish.",12 ounces,$19.00,,19.0,17.86
22,$30.00/4 ounces,"Richly sweet-tart, floral and fruit-driven. Mango, cocoa nib, ginger blossom, lime zest, cedar in aroma and cup. Balanced, tart-leaning structure with vibrant, juicy acidity; lightly viscous, silky mouthfeel. Long, flavor-saturated finish centered around fruit and florals.",4 ounces,$30.00,,30.0,28.2
23,$17.95/12 ounces,"Sweetly nut-toned. Cashew, caramel, cedar, orange zest, lily in aroma and cup. Sweet structure with brisk acidity; lightly satiny mouthfeel. The finish centers around notes of cashew and cedar with caramel undertones.",12 ounces,$17.95,,17.95,16.872999999999998
24,$17.95/12 ounces,"Evaluated as espresso. Chocolaty, roast-rounded. Cocoa powder, date, salted caramel, gardenia, fresh-cut fir in aroma and small cup. Crisp, velvety mouthfeel; sweet, chocolaty and wood-framed finish. In three parts milk, both chocolate and floral notes bloom, with undertones of date and gardenia.",12 ounces,$17.95,,17.95,16.872999999999998
25,NT $550/4 ounces,"Deep-toned, intricately balanced. Dried mulberry, dark chocolate, magnolia, sandalwood, pink peppercorn in aroma and small cup. Juicy-sweet structure with high-toned acidity; very full, syrupy mouthfeel. The resonant finish consolidates to notes of dried mulberry and pink peppercorn.",4 ounces,NT $550,NT ,550.0,
26,NT $350/8 ounces,"Delicate, complex, multi-layered. Cocoa nib, orange blossom oil, hop flowers, tangerine, cedar in aroma and cup. Richly sweet-tart structure with citrusy acidity; full, syrupy-smooth mouthfeel. The floral-toned, citrusy finish is supported by cocoa nib and cedar notes.",8 ounces,NT $350,NT ,350.0,
27,NT $420/200 grams,"Evaluated as espresso. Balanced, deep-toned. Baking chocolate, tamarind, cedar, narcissus, agave syrup in aroma and small cup. Crisp, lightly satiny mouthfeel; richly drying finish with notes of baking chocolate and cedar. In three parts milk, nice dark chocolate and narcissus notes supported by agave.",200 grams,NT $420,NT ,420.0,
28,NT $630/200 grams,"Gently fruit-forward. Raspberry, honey, almond butter, magnolia, grapefruit zest in aroma and cup. Sweet-toned structure with brisk acidity; plush, syrupy mouthfeel. The sweet-toned finish centers around notes of raspberry, magnolia and honey. ",200 grams,NT $630,NT ,630.0,
29,NT $880/200 grams,"Juicy, bright, fruit- and floral-toned, savory-edged. Shitake mushroom, dark chocolate, grape candy, wisteria, amber in aroma and cup. Sweet-tart structure with cola-like acidity; plush, syrupy mouthfeel. Long, lingering, flavor-saturated finish.",200 grams,NT $880,NT ,880.0,
30,NT $500/200 grams,"Evaluated as espresso. Deeply sweet, rich-toned, chocolaty. Dark chocolate, cashew butter, pomegranate, lemon verbena, cedar in aroma and cup. Creamy-smooth mouthfeel; crisply sweet finish consolidates to notes of dark chocolate and pomegranate. In cappuccino-scaled milk, chocolate notes bloom, tart fruit notes are tempered, and floral hints are further amplified.",200 grams,NT $500,NT ,500.0,
31,NT $1250/60 grams," Richly aromatic, complex. Star jasmine, cocoa nib, bergamot, apricot, sandalwood in aroma and cup. Delicately bright structure with vibrantly juicy acidity; silky, viscous mouthfeel. Resonant, long flavor-laden finish with notes of star jasmine and cocoa nib supported by apricot undertones.",60 grams,NT $1250,NT ,1250.0,
32,$18.99/16 ounces,"Sweetly roast-toned, richly chocolaty. Baking chocolate, scorched mesquite, lily, almond brittle, date in aroma and cup. Bittersweet structure with creamy mouthfeel; the crisp, gently drying finish centers on notes of baking chocolate, lily and mesquite.",16 ounces,$18.99,,18.99,17.850599999999996
33,$14.00/230 grams,"Gently sweet-tart, multi-layered. Dried raspberry, honeysuckle, almond butter, cocoa nib, honey in aroma and cup. Sweet-tart structure with winey acidity; full, syrupy mouthfeel. Finish consolidates to notes of almond butter and cocoa nib with undertones of dried raspberry. ",230 grams,$14.00,,14.0,13.16
34,NT $500/227 grams,"Crisply sweet, intentionally fermenty. Whiskey barrel, cocoa powder, raisin, fresh-cut fir, pistachio in aroma and cup. Sweet-savory structure with brisk acidity; velvety mouthfeel. Sweetly fermenty finish with notes of whiskey cask and fresh fir.",227 grams,NT $500,NT ,500.0,
35,NT $600/227 grams,"Bittersweet, cleanly fruit-toned. Dark chocolate, raspberry, lime zest, hazelnut butter, rhododendron in aroma and cup. Deeply sweet structure with juicy, bright acidity; lightly satiny mouthfeel. The finish is carried by notes of dark chocolate and raspberry.",227 grams,NT $600,NT ,600.0,
36,$30.00/12 ounces,"Balanced, richly sweet-tart. Apricot, cocoa nib, almond, lemon verbena, cedar in aroma and cup. Sweet structure with bright, juicy acidity; crisp, satiny mouthfeel. The finish consolidates to notes of cocoa-toned almond and lemon verbena.",12 ounces,$30.00,,30.0,28.2
37,$28.00/12 ounces,"High-toned, chocolaty and richly aromatic. Malted chocolate, black cherry, cashew butter, pink grapefruit, toffee in aroma and cup. Brightly sweet structure with lively but restrained acidity; plush, creamy mouthfeel. The integrated finish carries over all the aroma and flavor notes from the cup.",12 ounces,$28.00,,28.0,26.32
38,$22.00/12 ounces,"Gently fruit-toned, richly wood-framed. Pie cherry, balsa wood, maple syrup, lemon balm, grapefruit zest in aroma and cup. Sweet structure with gentle, round acidity; crisp, silky mouthfeel. Wood-framed finish with tart cherry and grapefruit suggestions.",12 ounces,$22.00,,22.0,20.68
39,$19.00/12 ounces,"Crisply chocolaty, rich-toned. Baking chocolate, pomegranate, gingerbread, Meyer lemon zest, pink peppercorn in aroma and cup. Savory-sweet structure with bright, lively acidity; crisp yet velvety mouthfeel. The finish consolidates to notes of pomegranate and pink peppercorn.",12 ounces,$19.00,,19.0,17.86
40,$20.00/12 ounces,"Delicately sweet-tart. Green grape, cocoa powder, bay leaf, fresh-cut fir, brown sugar in aroma and cup. Sweet-tart structure with brisk acidity; crisp, velvety mouthfeel. The gently drying finish leads with notes of cocoa powder and brown sugar, with hints of sweet herbs in the long.",12 ounces,$20.00,,20.0,18.799999999999997
41,$21.00/12 ounces,"Sweet-toned, pleasingly floral. Baking chocolate, honeysuckle, hazelnut, fresh-cut fir, cane sugar in aroma and cup. Sweet structure with brisk acidity; full, velvety mouthfeel. Crisp, sweet, wood-framed finish with undertones of baking chocolate and hazelnut.",12 ounces,$21.00,,21.0,19.74
42,$19.00/12 ounces,"Sweetly-tart, fruit-toned. Dried raspberry, baking chocolate, clove, lime zest, fresh-cut oak in aroma and cup. Sweet-tart structure with brisk acidity; lightly satiny mouthfeel. Spice-toned finish with undercurrents of berries and crisp chocolate.",12 ounces,$19.00,,19.0,17.86
43,$24.00/12 ounces,"Balanced, deeply sweet. Black currant, ginger blossom, orange zest, cedar, cocoa nib in aroma and cup. Sweet-toned structure with malic (green apple-like) acidity; delicately satiny mouthfeel. The finish leads with notes of cocoa nib and cedar.",12 ounces,$24.00,,24.0,22.56
44,$22.00/10 ounces,"Richly and brightly sweet-savory. Raspberry, lemon verbena, cocoa nib, cedar, pink grapefruit zest in aroma and cup. Complex, bittersweet structure with juicy acidity; lightly satiny mouthfeel. The finish consolidates to notes of cocoa nib and pink grapefruit zest.",10 ounces,$22.00,,22.0,20.68
45,$20.00/12 ounces,"Sweetly-fruit-forward. Just-picked blueberry, honeycomb, cashew butter, marjoram, baking chocolate in aroma and cup. Sweet-toned structure with pert acidity; pillowy, creamy-smooth mouthfeel. The finish is centered around notes of honey and cashew.",12 ounces,$20.00,,20.0,18.799999999999997
46,$19.95/12 ounces,"Confident, juicy-bright. Black currant, cocoa nib, freesia, orange zest, fresh-cut cedar in aroma and cup. High-toned structure with phosphoric acidity; medium-weight, viscous mouthfeell. The lively finish leads with notes of black currant and hints of spice-toned florals.",12 ounces,$19.95,,19.95,18.752999999999997
47,$15.00/8 ounces,"Balanced, delicately sweet-tart. Dark chocolate, magnolia, goji berry, almond brittle, blood orange in aroma and cup. Sweetly tart structure with vibrant acidity; crisp, silky-smooth mouthfeel. The pleasing finish centers around notes of dark chocolate and goji berry.",8 ounces,$15.00,,15.0,14.1
48,$20.95/12 ounces,"Rich-toned, deeply sweet. Salted caramel, pomegranate, almond butter, narcissus, pink grapefruit zest in aroma and cup. Sweetly savory structure with citrusy acidity; plush, syrupy mouthfeel. Crisp, focused finish centered around notes of salted caramel and almond.",12 ounces,$20.95,,20.95,19.692999999999998
49,$20.95/12 ounces,"Complex, multi-layered. Cocoa nib, Meyer lemon marmalade, magnolia, hazelnut, maple syrup in aroma and cup. Brightly sweet structure with high-toned acidity; very satiny, smooth mouthfeel. Crisp finish that leads with notes of Meyer lemon and cocoa nib.",12 ounces,$20.95,,20.95,19.692999999999998
50,$18.00/12 ounces,"Baking chocolate, mulberry, squash blossom, hazelnut, fresh-cut oak in aroma and small cup. Crisp, velvety mouthfeel. The finish consolidates to notes of baking chocolate and roasted squash. In cappuccino format, savory notes predominate, with undertones of mulberry and baking chocolate.",12 ounces,$18.00,,18.0,16.919999999999998
51,$20.00/8 ounces,"Delicately high-toned, balanced. Pink grapefruit, cocoa nib, narcissus, lychee, a hint of green peppercorn in aroma and small cup. Richly viscous mouthfeel; cocoa-toned finish with a hint of pink grapefruit. In cappuccino-scaled milk, floral and cocoa notes take center stage, while sweet citrus recedes.",8 ounces,$20.00,,20.0,18.799999999999997
52,$30.00/4 ounces,"Cocoa-toned, delicately sweet-tart. Cocoa nib, almond nougat, Cara Cara orange, magnolia, lemon thyme in aroma and small cup. Gently bright structure with juicy-sweet acidity; full, vibrant mouthfeel. Cocoa- and citrus-toned finish.",4 ounces,$30.00,,30.0,28.2
53,$20.00/12 ounces,"Bright, juicy-sweet. Dark chocolate, goji berry, fine musk, almond butter, cedar in aroma and small cup. Creamy-smooth mouthfeel; resonant finish consolidates to notes of goji berry and almond. In three parts milk, dark chocolate notes are amplified, while dried berry notes provide sweet-tart ballast.",12 ounces,$20.00,,20.0,18.799999999999997
54,NT $500/227 grams,"Richly tart, chocolaty. Pomegranate, dark chocolate, lemon verbena, almond, cedar in aroma and cup. Crisply sweet-tart structure with citrusy acidity; full, syrupy mouthfeel. The sustained finish consolidates to notes of pomegranate, dark chocolate and cedar.",227 grams,NT $500,NT ,500.0,
55,$60.00/150 grams,"Richly fruit- and floral-toned. Lychee, strawberry guava, white ginger, cocoa nib, pink grapefruit zest in aroma and cup. Brightly sweet structure with juicy acidity; viscous, satiny-smooth mouthfeel. The long, resonant, flavor-laden finish carries over all the notes from the cup.",150 grams,$60.00,,60.0,56.4
56,$25.00/8 ounces,"Deeply sweet, richly fruit-toned. Passion fruit, ginger flower, cocoa nib, Meyer lemon zest, hazelnut in aroma and cup. Brightly sweet with vibrant, juicy acidity; very full, syrupy mouthfeel. The resonant finish centers around notes of cocoa-toned ginger flower.",8 ounces,$25.00,,25.0,23.5
57,$50.00/4 ounces,"High-toned, balanced, deeply sweet. Pomelo, jasmine, cocoa nib, amber, agave syrup in aroma and cup. Brightly sweet structure with juicy acidity; syrupy-smooth mouthfeel. The crisply cocoa-toned finish is supported by pomelo and jasmine.",4 ounces,$50.00,,50.0,47.0
58,$18.00/8 ounces,"Nuanced, bright, multi-layered, richly aromatic. Tangerine, lilac, sage, Bing cherry, caramelized walnut in aroma and cup. Sweetly bright structure with vibrant, balanced acidity; lively, satiny-smooth mouthfeel. The resonant finish centers around notes of tangerine and sage.",8 ounces,$18.00,,18.0,16.919999999999998
59,$50.00/4 ounces,"Delicately bright, resonantly floral. Narcissus, cardamom, honey, bergamot, marjoram in aroma and cup. Balanced, sweetly tart structure with vibrant acidity; lively, silky mouthfeel. The long, flavor-laden finish leads with notes of bittersweet citrus and narcissus in the short; cardamom and honey resurface in the long.",4 ounces,$50.00,,50.0,47.0
60,$19.00/12 ounces,"Richly sweet, floral- and fruit-toned. Apricot, star jasmine, almond nougat, lemon balm, sandalwood in aroma and cup. Sweetly tart structure with delicately bright acidity; plush, syrupy mouthfeel. Long, lingering, flavor-laden finish.",12 ounces,$19.00,,19.0,17.86
61,$8.00/4 ounces,"Richly sweet, chocolaty. Dark chocolate, hazelnut, date, gardenia, cedar in aroma and cup. Sweet-toned structure with gentle acidity; crisp, satiny mouthfeel. Chocolaty finish with undertones of hazelnut and cedar.",4 ounces,$8.00,,8.0,7.52
62,$18.50/16 ounces,"Chocolaty, deep-toned. Baking chocolate, date, cedar, narcissus, almond in aroma and cup. Sweet structure with brisk acidity; velvety mouthfeel. The finish consolidates to notes of baking chocolate and cedar.",16 ounces,$18.50,,18.5,17.39
63,$24.00/12 ounces,"High-toned, sweetly tart. Lychee, tamarind, dark chocolate, marjoram, fresh-cut oak in aroma and cup. Sweet-toned structure with gentle, round acidity; plush, creamy mouthfeel. Long, lingering finish with notes of dark chocolate and tamarind.",12 ounces,$24.00,,24.0,22.56
64,$21.50/16 ounces,"Gently fruit-toned, complex, multi-layered. Wild strawberry, honey, sandalwood, jasmine, fresh leather in aroma and cup. Sweetly tart structure with balanced, juicy acidity; very full, syrupy mouthfeel. The crisp finish centers on notes of strawberry and sandalwood with honey undertones.",16 ounces,$21.50,,21.5,20.209999999999997
65,$21.00/12 ounces,"Richly spice- and fruit-toned. Nectarine, clove, narcissus, cocoa nib, cedar in aroma and cup. Brightly sweet structure with vibrant, juicy acidity; full, syrupy-smooth mouthfeel. The balanced finish leads with notes of cocoa nib and nectarine, supported by clove, cedar and a hint of narcissus.",12 ounces,$21.00,,21.0,19.74
66,$16.99/12 ounces,"Bright but balanced; cleanly classic washed profile. Distinct apricot,tangerine, cedar, caramel, almond in aroma and cup. Sweetly bright in structure withsmooth but decisive acidity; lightly syrupy, lively mouthfeel. Apricot dominates in a sweetlyrich, very long finish.",12 ounces,$16.99,,16.99,15.970599999999997
67,$15.00/12 ounces,"Sweet-toned, straightforward, comfortable. Brown sugar, cocoa, gardenia, hazelnut, a hint of orange marmalade in aroma and cup. Balanced in structure, with gentle, round acidity; delicately plush mouthfeel. The exceptionally sweet finish consolidates around flowers, cocoa, hazelnut. ",12 ounces,$15.00,,15.0,14.1
68,NT $500/200 grams,"Suavely bright, quietly lively, balanced. Tangerine, hazelnut, cedar, cashew, floral vanilla in aroma and cup. Sweetly tart in structure; roundly bright acidity. Plush, buoyant mouthfeel. Impressive finish: deep, layered, vanilla with cedar and tangerine back notes.",200 grams,NT $500,NT ,500.0,
69,$22.00/12 ounces,"Buoyant, delicate, vivacious. A bouquet of flowers — rose, magnolia, more — plus lemon, sandalwood, fresh tobacco in aroma and cup. Sweet-tart in structure with a big, savory bottom. Syrupy but lively mouthfeel. Rich, sweet, balanced finish: tobacco, lemon. ",12 ounces,$22.00,,22.0,20.68
70,NT $650/225 grams,"Richly and suavely bright, balanced. Milk chocolate, cedar, floral-toned vanilla, raspberry, hazelnut in aroma and cup. Very sweetly and lightly tart with gently bright acidity; satiny mouthfeel. Lightly drying but flavor-saturated finish leading with raspberry and vanilla. ",225 grams,NT $650,NT ,650.0,
71,$13.00/12 ounces,"Sweet, crisply brisk, orangy, balanced. Orange, freesia, fresh-cut fir, hints of cocoa nib and molasses. Bittersweet in structure with a sweet but brisk acidity. Lightly syrupy, lifty and lively mouthfeel. Gently but richly drying finish: orange, fir, a hint of cocoa nib.",12 ounces,$13.00,,13.0,12.219999999999999
72,NT $400/16 ounces,"Round, deep, yet delicately lively, sweetly nut-toned. Roasted pistachio, caramel, date, lime, freesia in aroma and cup. Complexly layered structure with light-footed, engaging acidity; lightly satiny mouthfeel. Long, layered finish: lime and caramel.",16 ounces,NT $400,NT ,400.0,
73,$12.00/12 ounces,"Crisp, spicy, orange-toned. Spice box, black currant, orange, cocoa, a hint of sweet flowers in aroma and cup. Sweet-tart structure with a briskly savory edge; full, plump mouthfeel. Rich and round in the finish: orange, blackberry, a continued hint of flowers.  ",12 ounces,$12.00,,12.0,11.28
74,NT $429/8 ounces,"Delicately fruit-toned, gently tart. Dark chocolate, strawberry, jasmine, cedar, pink grapefruit zest in aroma and cup. Sweetly tart structure with juicy acidity; crisp, satiny mouthfeel. Chocolaty, fruit-toned finish, with undertones of cedar.",8 ounces,NT $429,NT ,429.0,
75,NT $399/8 ounces,"Spice-toned, richly sweet. White peach, nutmeg, tuberose, cocoa nib, fresh-cut fir in aroma and cup. Sweet structure with gentle, round acidity; full, syrupy-smooth mouthfeel. The finish leads with notes of cocoa nib and peach in the short, with fresh-cut fir and hints of tuberose resurfacing in the long.",8 ounces,NT $399,NT ,399.0,
76,$19.95/12 ounces,"Crisply sweet, delicately aromatic. Fig Newton, magnolia, hazelnut, fresh-cut fir, agave syrup in aroma and cup. Sweet structure with brisk acidity; very full, satiny mouthfeel. The gently drying finish consolidates to notes of hazelnut and fir.",12 ounces,$19.95,,19.95,18.752999999999997
77,$18.50/12 ounces,"High-toned, richly sweet-tart. Red plum, almond nougat, marjoram, cedar, star jasmine in aroma and cup. Brightly sweet with high-toned acidity; syrupy-smooth mouthfeel. The finish leads with notes of star jasmine, rounding to almond nougat in the long.",12 ounces,$18.50,,18.5,17.39
78,$28.50/12 ounces,"Elegantly fruit-toned, very juicy. Ripe peach, dark chocolate, blueberry jam, almond butter, a hint of wine barrel in aroma and cup. Sweetly tart structure with bright, malic acidity; very smooth, syrupy mouthfeel. Integrated, harmonious, long finish.",12 ounces,$28.50,,28.5,26.79
79,$22.00/12 ounces,"Delicately aromatic, richly sweet. Narcissus, honey, apricot, almond, Meyer lemon zest in aroma and cup. Sweetly tart structure with gently bright, floral acidity; smooth, silky mouthfeel. The finish consolidates to notes of honey and almond with undertones of narcissus.",12 ounces,$22.00,,22.0,20.68
80,$24.00/8 ounces,"Richly fruit- and floral-toned. Dried plum, plumeria, dark chocolate, amber, lemon-thyme in aroma and cup. Sweet-tart with balanced, fruity acidity; very full, syrupy mouthfeel. The resonant finish centers around notes of plum, plumeria and dark chocolate.",8 ounces,$24.00,,24.0,22.56
81,$22.00/12 ounces,"Sweetly tart, fruit-driven, chocolaty. Berry melange, dark chocolate, freesia-like flowers, cedar, pink peppercorn in aroma and cup. Brightly sweet with vibrant, high-toned acidity; lively, syrupy mouthfeel. Long, lingering, flavor-saturated finish, juicy and bright.",12 ounces,$22.00,,22.0,20.68
82,$17.50/12 ounces,"Deeply lactic-sweet, rich-toned. Bubblegum, rhododendron, cocoa nib, fresh leather, grape candy in aroma and cup. Richly bittersweet structure with tangy, lactic acidity; delicate, lightly syrupy mouthfeel. The sweet, long finish consolidates to notes of bubblegum and cocoa nib with undertones of rhododendron.",12 ounces,$17.50,,17.5,16.45
83,$54.95/8 ounces,"Deep-toned, complexly layered, vibrantly aromatic. Black cherry, honeysuckle, cocoa nib, sugar cane, lemon balm in aroma and cup. Richly bittersweet structure with tart, juicy acidity; crisp, satiny mouthfeel. Very long, nuanced, resonant finish.",8 ounces,$54.95,,54.95,51.653
84,$17.00/12 ounces,"Evaluated as espresso. Caramel, almond butter, yellow plum, orange zest, cedar in aroma and small cup. Crisp, satiny mouthfeel; richly nut-driven finish. In three parts milk, almond and caramel tones commingle, supported by plum and cedar.",12 ounces,$17.00,,17.0,15.979999999999999
85,$17.00/12 ounces,"Evaluated as espresso. Richly chocolaty, deeply sweet. Crisp apple, dark chocolate, hazelnut, fresh-cut oak, agave syrup in aroma and small cup. Velvety-smooth mouthfeel; chocolaty, nutty finish. In three parts milk, both chocolate and nut tones are amplified, while fruit falls back to a supporting role. ",12 ounces,$17.00,,17.0,15.979999999999999
86,NT $500/227 grams,"Rich-toned, chocolaty. Baking chocolate, cashew butter, date, magnolia, orange zest in aroma and cup. Sweet-toned with gentle, round acidity; very full, creamy mouthfeel. Finish consolidates to notes of crisp baking chocolate and cashew.",227 grams,NT $500,NT ,500.0,
87,NT $600/227 grams,"Nuanced, multi-layered. Almond brittle, pomegranate, dark chocolate, narcissus, lemon-thyme in aroma and small cup. Sweetly savory with juicy acidity; syrupy-smooth, vibrant mouthfeel with. Resonant, long, flavor-saturated finish. ",227 grams,NT $600,NT ,600.0,
88,$20.00/12 ounces,"Richly sweet-tart, high-toned. Apricot nectar, almond nougat, jasmine, cedar, cocoa nib in aroma and cup. Richly sweet-tart structure with juicy-bright acidity; very syrupy, vibrant mouthfeel. Cocoa-toned finish with undertones of apricot and cedar.",12 ounces,$20.00,,20.0,18.799999999999997
89,NT $165/8 ounces,"Evaluated as espresso. Crisply sweet, fruit-toned. Pomegranate, baking chocolate, freesia-like flowers, fresh-cut fir, orange zest in aroma and small cup. Syrupy-smooth mouthfeel; deeply sweet floral- and citrus-toned finish. In three parts milk, crisp chocolate notes are amplified, supported by pomegranate and fir.",8 ounces,NT $165,NT ,165.0,
90,NT $275/200 grams,"Sweetly floral, richly aromatic. Magnolia, raspberry, cocoa nib, lemon-thyme, agave syrup in aroma and cup. Sweetly tart structure with bright, juicy acidity; full, syrupy-smooth mouthfeel. The finish leads with notes of magnolia  and raspberry with distinct undertones of cocoa nib.",200 grams,NT $275,NT ,275.0,
91,NT $888/225 grams,"Crisply sweet, spice-toned. Plum, clove, almond, freesia-like flowers, lemon zest in aroma and cup. Sweet structure with brisk acidity; satiny-smooth mouthfeel. The finish consolidates to notes of freesia and lemon zest.",225 grams,NT $888,NT ,888.0,
92,NT $550/200 grams,"Elegantly fruit-driven, cocoa-toned. Gogi berry, red plum, cocoa nib, star jasmine, sandalwood in aroma and cup. Brightly sweet structure with very juicy acidity; plush, satiny mouthfeel. Resonant, long, lingering finish.",200 grams,NT $550,NT ,550.0,
