,coffee_name,rating,rating_cat,est_price,aftertaste,aroma,body,flavor,agtron,blind_assessment,coffee_origin,notes,roast_level,roaster,roaster_location,url,clusters,max_match_key,Fruity,Tropical,Citrusy,Woody,Berry,Sweet,Candy,Nutty,Creamy,Herbal,Chocolaty,Floral,Texture,Character,Acidity / Spicy,Delicate,Bold,score
140,Nicaragua Flor de Dalia Natural,92,Very Good to Outstanding,$18.00/12 ounces,8,8,9,9,62/78,"Gently fruit-forward, sweetly nut-toned. Rice candy, Nutella, fresh-cut fir, freesia-like flowers, lemon balm in aroma and cup. Richly sweet structure with brisk acidity; plush, creamy mouthfeel. Long, sweet, nutty finish consolidates to notes of hazelnut and fir.","La Dalia, Matagalpa Department, northern Nicaragua","Produced by smallholding members of the Flor de Dalia Cooperative entirely of the Caturra variety of Arabica, and processed by the natural method (dried in the whole fruit). Certified Fair Trade. Founded in 1995 by Brooke McDonnell and Helen Russell, Equator Coffees operates retail stores in the San Francisco Bay Area and southern California and provides coffee to hundreds of wholesale accounts. Visit www.equatorcoffees.com or call 800-809-7687 for more information.",Medium-Light,Equator Coffees,"San Rafael, California",https://www.coffeereview.com/review/nicaragua-flor-de-dalia-natural/,0,Nutty,1,0,1,1,0,1,1,3,1,2,0,1,0,0,1,0,0,3
142,Peru Incahuasi,94,Very Good to Outstanding,$26.00/12 ounces,8,9,9,9,58/78,"Gently fruit-toned, integrated and balanced. Pineapple, almond nougat, redwood, narcissus, marjoram in aroma and cup. Sweetly tart with juicy, high-toned acidity; vibrant, syrupy mouthfeel. The finish centers around notes of pineapple and almond.","Cusco Region, Peru","Produced at Incahuasi Farm from trees of the Typica, Bourbon and Caturra varieties of Arabica, and processed by the natural method (dried in the whole fruit). Based in Phoenix, Arizona, Press Coffee roasts in small batches to ensure the highest quality and consistency, while sharing their knowledge and passion for coffee with customers. Visit www.presscoffee.com for more information.",Medium-Light,Press Coffee,"Phoenix, Arizona",https://www.coffeereview.com/review/peru-incahuasi/,0,Sweet,0,1,0,1,0,3,1,1,0,2,0,0,1,0,1,1,0,3
148,Kenya Ichuga AA,93,Very Good to Outstanding,$23.50/12 ounces,8,9,8,9,58/76,"Balanced, vibrant, juicy. Black currant, narcissus, toffee, cedar, pink grapefruit zest in aroma and cup. Sweet-toned structure with vivacious, sparkling acidity; crisp, velvety mouthfeel. The finish consolidates to toffee and cedar.","Nyeri County, Kenya","Produced by smallholding members of the Kiama Farmers Cooperative Society from trees of the SL28, SL34 and Ruiru 11 varieties of Arabica, and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried) at the Ichuga wet mill. ILSE Coffee is an ingredient-driven roaster currently building a new roastery and café in North Canaan, Connecticut. Visit www.ilsecoffee.com for more information.",Medium-Light,ILSE Coffee Roasters,"North Canaan, Connecticut",https://www.coffeereview.com/review/kenya-ichuga-aa/,2,Fruity,2,0,1,1,1,0,1,0,0,1,0,0,2,0,1,1,1,2
175,Ethiopia Gera Estate Anaerobic Natural,95,Exceptional,$22.00/12 ounces,9,9,9,9,60/78,"Tropically fruity, richly chocolaty. Dried blueberry, lychee, chocolate fudge, cedar, wisteria in aroma and cup. Brightly sweet-tart structure with winy acidity; plush, very viscous mouthfeel. Long, resonant, flavor-saturated finish.","Djimma growing region, Oromia State, Ethiopia","Produced at Gera Estate from trees of selections of indigenous landrace varieties of Ethiopia Arabica, and processed by the natural anaerobic method, wherein whole fruit is fermented with limited oxygen before drying. Magnolia Coffee is a Charlotte-based specialty roaster whose mission is to use sustainably sourced coffees to make a difference in the lives of coffee workers and to foster a socially conscious community with cause-supporting coffees. Visit www.magnoliacoffeeco.com for more information.

",Medium-Light,Magnolia Coffee,"Charlotte, North Carolina",https://www.coffeereview.com/review/ethiopia-gera-estate-anaerobic-natural/,0,Berry,1,2,0,1,3,1,1,0,0,1,2,0,1,1,1,0,2,2
186,Ethiopia Sidama Tamiru Tadesse Anaerobic Natural Special Auction Lot,95,Exceptional,$10.00/4 ounces,9,9,9,9,62/80,"Floral-toned, richly fruity. Narcissus, watermelon candy, dark chocolate, amber, clove in aroma and cup. Sweet-savory structure with winey acidity; very full, syrupy mouthfeel. Resonant, long, flavor-laden finish.","Guji Zone, Oromia Region, southern Ethiopia","Produced by Tamiru Tadesse from indigenous landrace selections of Arabica long grown in the region, and processed by the anaerobic natural method, in which the whole fruit is fermented with limited oxygen before drying. Euphora Coffee is a Taipei-based specialty coffee roaster with an active online community through which all sales are made. Visit www.euphoracoffeestudio.com for more information.

",Light,Euphora Coffee,"Taipei, Taiwan",https://www.coffeereview.com/review/ethiopia-sidama-tamiru-tadesse-anaerobic-natural-special-auction-lot/,0,Fruity,2,0,1,0,2,2,1,0,0,1,1,1,0,0,2,0,0,2
188,Full Moon Espresso,95,Exceptional,NT $550/200 grams,8,9,9,9,48/64,"Evaluated as espresso. Richly floral, elegantly fruit-toned, chocolaty. Star jasmine, passionfruit, dark chocolate fudge, myrrh, a hint of marjoram in aroma and small cup. Very syrupy, viscous mouthfeel; crisply chocolaty, fruit-driven finish. In three parts milk, resonantly aromatic and complex with multiple layers of florals, fruit, chocolate, sweet herbs, and myrrh-like resin.",Ethiopia; Guatemala; El Salvador; Panama; Costa Rica,"A blend of six distinguished green coffees: Ethiopia Uraga G1 Tome G1 natural; washed Ethiopia Guji Hampela Buku Sayisa; washed Guatemala La Minita La Flor; El Salvador Chalatenango Pacas Mimura Honey; Panama Bouquete El Burro Honey; and Costa Rica Dota La Minita — roasted separately for espresso applications and blended post-roast. Kasasagi is a Taiwan-based company that specializes in roasting “Japanese-style” coffees. Both companies are based in Taipei. Visit https://www.facebook.com/Kasasagicoffee/ for more information.

 ",Medium,Kasasagi Coffee Roasters,"Taipei, Taiwan",https://www.coffeereview.com/review/full-moon-espresso/,0,Bold,0,1,0,0,0,2,1,0,1,2,2,3,3,2,0,0,5,3
205,Colombia Tres Dragones,94,Very Good to Outstanding,$23.00/10 ounces,8,9,9,9,64/84,"Richly chocolaty, sweetly fermenty. Cherry cordial, chocolate fudge, almond brittle, fine musk, gardenia in aroma and cup. Brightly sweet structure with juicy, winey acidity; full, viscous mouthfeel. Crisply chocolaty, fruity finish with a whisper of alcohol ferment.","Caicedonia, Valle de Cauca Department, Colombia","Produced by Rigoberto and Rodrigo Herrera of Finca Potosi entirely of the Colombia variety of Arabica, and processed by a “hybrid natural” method, meaning the coffee was both fermented and dried in the whole fruit. Bird Rock Coffee Roasters is a retailer and wholesaler focused on organic and socially responsible coffees; it was awarded the “2012 Micro-Roaster of the Year” title by Roast Magazine. Visit www.birdrockcoffee.com or call 858-551-1707 for more information.",Light,Bird Rock Coffee Roasters,"San Diego, California",https://www.coffeereview.com/review/colombia-tres-dragones-2/,0,Bold,2,0,0,0,2,0,1,1,0,1,2,1,4,0,1,1,3,2
232,Kenya Gitare AA TOP,95,Exceptional,NT $340/8 ounces,9,9,9,9,62/80,"Sweetly bright, richly savory. Narcissus, pink grapefruit zest, ripe blackberry, cocoa nib, salted caramel in aroma and cup. Sweet-savory, complex structure with juicy acidity; plush, very syrupy mouthfeel. Narcissus and salted caramel notes lead in the long, resonant finish.","Embu County, Eastern Province, Kenya","Despite grower discontent and urban encroachment on prime coffee lands, Kenya continues to produce some of the world’s most elegant and distinctive coffees. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.",Light,Kakalove Cafe,"Chia-Yi, Taiwan",https://www.coffeereview.com/review/kenya-gitare-aa-top/,0,Sweet,1,0,1,0,1,2,1,0,0,1,1,0,1,1,2,1,1,2
240,Festivity Blend,92,Very Good to Outstanding,$22.50/12 ounces,8,8,9,9,58/74,"Richly sweet, nut-toned. Almond nougat, tangerine, cocoa powder, freesia-like flowers, oak in aroma and cup. Sweet-toned structure with brisk acidity; plush, satiny mouthfeel. Crisply nut-toned finish with undertones of cocoa-powder.",Guatemala; Ethiopia; Colombia,"A blend of three coffees: a Guatemala and a Colombia, both washed-process, and a natural-processed Ethiopia. Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.",Medium-Light,Temple Coffee,"Sacramento, California",https://www.coffeereview.com/review/festivity-blend-2/,0,Nutty,0,0,1,1,0,0,1,2,0,1,1,1,2,1,1,1,2,2
277,Panama Hartmann Estate Chicho Gallo Amaro Gayo Natural BOP#1,94,Very Good to Outstanding,NT $549/100 grams,8,9,9,9,60/78,"Complex, sweetly tart, spice-toned. Plum, fine musk, toffee, macadamia nut, dark chocolate in aroma and cup. Sweet-tart structure with vibrant, juicy acidity; plush, syrupy mouthfeel. The crisp finish centers around notes of plum and dark chocolate. ","Chiriqui Province, far western Panama","Produced by the Hartmann family of Finca Hartmann, entirely of the Amaro Gayo (Ethiopian landrace) variety of Arabica, and processed by the natural method (dried in the whole fruit). Buon Caffe is a specialty coffee roaster and cafe in Taipei, Taiwan. Visit www.buoncaffe.com.tw for more information.",Medium-Light,Buon Caffe,"Taipei, Taiwan",https://www.coffeereview.com/review/panama-hartmann-estate-chicho-gallo-amaro-gayo-natural-bop1/,0,Sweet,1,0,0,0,0,3,1,2,0,1,1,0,2,1,2,1,2,2
291,Nyeri Hill Kenya,94,Very Good to Outstanding,$22.00/12 ounces,8,9,9,9,58/80,"Complex, deeply engaging. Bing cherry, pomelo, salted caramel, lemon balm, cedar in aroma and cup. Brightly sweet-tart with vivacious acidity; plush, syrupy mouthfeel. The resonant finish consolidates around notes of cherry and bittersweet citrus.","Nyeri growing region, south-central Kenya","Despite grower discontent, unclear government coffee policy and urban encroachment on prime coffee lands, the famed Kenya coffee auction system and its participating cooperatives continue to produce some of the world's most elegant and distinctive coffees. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.",Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin",https://www.coffeereview.com/review/nyeri-hill-kenya-2/,0,Citrusy,2,0,3,1,0,3,1,0,0,1,0,0,0,1,3,0,1,2
299,Colombia Granja Paraíso Java P14,95,Exceptional,$50.00/4 ounces,9,9,9,9,64/82,"Sweetly citrusy, richly chocolaty. Candied kumquat, dark chocolate, vanilla yogurt, honeysuckle, lemon balm in aroma and cup. Brightly sweet-tart with juicy, high-toned acidity; creamy-smooth mouthfeel. Resonant, long, flavor-laden finish.","Cauca Department, Colombia","Produced by Wilton Benitez of Finca El Paraíso entirely of the Java variety of Arabica, and processed by a complex double-anaerobic washed method, in which ​​the coffee fruit is first sterilized, then fermented in the whole fruit in a bio-reactor and inoculated with Saccromyces cervesiae var. Diastaticus. (Strains from this yeast variety are commonly used in producing Saison style beers.) After this fermentation in the whole fruit, the coffee is pulped and subjected to a second fermentation phase, after which the beans are sealed through the impact of hot and cold water before drying by machine for 46 hours at 38C (100F). Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",Light,Paradise Roasters,"Minneapolis, Minnesota",https://www.coffeereview.com/review/colombia-granja-paraiso-java-p14/,0,Citrusy,0,0,3,0,0,2,1,0,2,1,2,0,2,0,1,2,0,2
331,Guatemala Flor del Café,93,Very Good to Outstanding,$17.00/12 ounces,8,9,9,9,59/77,"Richly sweet, nut-toned. Fig Newton, almond nougat, marjoram, cedar, magnolia in aroma and cup. Sweet structure with brisk acidity; plush, syrupy mouthfeel. Crisply sweet, nutty finish.","Agua Dulce, Cuilco, Huehuetenango, Guatemala","Produced by Osbaldo Perez Ramirez, from trees of the Caturra and Bourbon varieties of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). Certified USDA Organic. Founded in 2011 by Keith Hamrick and Jen Lovrak, Northbound Coffee Roasters is a family-owned and -operated roastery in Mount Shasta, California. Visit northboundcoffee.com for more information.",Medium-Light,Northbound Coffee Roasters,"Mount Shasta, California",https://www.coffeereview.com/review/guatemala-flor-del-cafe/,0,Nutty,1,0,0,1,0,2,1,3,0,1,0,1,2,0,1,0,2,2
344,Honduras Blue Hole Estate,93,Very Good to Outstanding,NT $400/8 ounces,8,9,9,9,58/76,"Deeply sweet, fruit-forward. Raspberry coulis, cocoa nib, freesia-like flowers, cedar, caramelized walnut in aroma and cup. Sweetly tart structure with delicate acidity; very full, satiny-smooth mouthfeel. The finish leads with notes of caramelized walnut and cocoa nib with undertones of freesia.",Honduras,"Produced at Blue Hole Estate entirely of the Catuaí variety of Arabica, and processed by the natural method (dried in the whole fruit). David's Nose is a specialty coffee roaster based in Taipei, Taiwan whose founder studied agronomy and has a deep interest in crop quality. For more information, visit www.dnose.com.tw.",Medium-Light,David's Nose,"Taipei, Taiwan",https://www.coffeereview.com/review/honduras-blue-hole-estate/,0,Delicate,0,0,0,1,2,1,1,2,0,1,1,1,2,1,1,3,0,2
391,Costa Rica Central Valley Brandy Ball,92,Very Good to Outstanding,NT $500/227 grams,8,8,9,9,60/80,"Richly sweet, floral-toned. Freesia-like flowers, orange zest, hazelnut, caramel, cedar in aroma and cup. Sweet structure with gentle, round acidity; full, syrupy-smooth mouthfeel. Crisp floral- and nut-toned finish.","Central Valley, Costa Rica","Produced from the Bourbon and Caturra varieties of Arabica and processed by the honey method, in which some fruit flesh is left on the beans while they dry. Based in Kaohsiung, Taiwan, LECO Coffee, founded in 1997, roasts a wide range of coffees while adhering to the core principles of quality, professionalism and sustainable management. Visit https://www.facebook.com/Lecocoffee for more information.",Medium-Light,LECO Coffee,"Kaohsiung, Taiwan",https://www.coffeereview.com/review/costa-rica-central-valley-brandy-ball/,0,Sweet,0,0,1,1,0,2,1,2,0,1,0,2,2,0,1,1,1,2
413,Silver Monk Seasonal Blend,92,Very Good to Outstanding,$19.00/12 ounces,8,9,8,9,59/75,"Floral-toned, gently spicy. Freesia-like flowers, cocoa nib, orange zest, candied walnut, fresh-cut fir in aroma and cup. Crisply sweet finish with brisk acidity; lightly satiny mouthfeel. Crisp, bittersweet finish with notes of freesia and candied walnut.","Guji Zone, Oromia region, southern Ethiopia","A blend of two Ethiopia coffees, one natural-processed and one processed by carbonic maceration, both produced by Israel Defga. Corvus particularly focuses on processing methods and selective harvesting, which results in small, seasonal micro-lots of uniquely sweet, vibrant, and clean flavor profiles. For more information, visit www.corvuscoffee.com.",Medium-Light,Corvus Coffee Roasters,"Denver, Colorado",https://www.coffeereview.com/review/silver-monk-seasonal-blend/,2,Acidity / Spicy,0,0,1,1,0,0,1,2,0,1,1,2,2,1,3,2,2,2
429,Ethiopia Natural Sidama TAMIRU 74158,96,Exceptional,NT $400/4 ounces,9,9,9,10,60/78,"Provocatively sweet, richly floral, musky. Aromatic orchid, cocoa nib, finger lime, fine musk, toffee in aroma and cup. Elegantly tart in structure with bright, juicy acidity; crisp yet syrupy mouthfeel. Very long, flavor-laden finish.","Sidama growing region, southern Ethiopia","Produced by Tamiru Tadesse entirely of the 74165 variety of Arabica, and processed by the natural method (dried in the whole fruit). Kakalove Cafe is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.

 ",Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan",https://www.coffeereview.com/review/ethiopia-natural-sidama-tamiru-74158/,0,Sweet,0,0,1,0,0,3,1,0,0,1,1,1,2,1,1,1,2,2
447,704 Blend,93,Very Good to Outstanding,$16.00/12 ounces,8,9,9,9,52/68,"Rich, deep, caramelly. Dark caramel, hazelnut butter, lilac, fresh-cut oak, marjoram in aroma and cup. Very sweet with brisk acidity; plush, satiny mouthfeel. Caramel- and nut-toned finish with lilac resurfacing in the long.",Papua New Guinea; Guatemala,"A blend comprised of two coffees, both washed-process: a Papua New Guinea and a Guatemala. Founded in August 2016, Charlotte Coffee Company donates 10 percent of proceeds from all retail sales to local non-profits dedicated to ending homelessness and hunger. Visit www.charlottecoffeeco.com for more information.",Medium,Charlotte Coffee Company,"Charlotte, North Carolina",https://www.coffeereview.com/review/704-blend/,0,Nutty,0,0,0,1,0,0,1,2,1,1,0,1,0,1,1,1,0,2
487,Colombia Sidra Natural Signature Selection,96,Exceptional,$69.00/6 ounces,9,9,9,10,62/80,"Richly fruit-saturated, balanced, juicy. Black cherry, Bourbon barrel, cocoa nib, wisteria, candycap mushroom in aroma and small cup. Deep, sweet-savory structure with high-toned, malic acidity; plush, syrupy mouthfeel. Resonant, long, flavor-laden finish that fulfills the promise of the cup.","Caicedonia, Valle de Cauca Department, Colombia","This exceptional coffee was selected as the No. 10 coffee on Coffee Review’s list of the Top 30 Coffees of 2022. Produced by Rigoberto and Roberto Herrera entirely of the admired Sidra variety of Arabica, and processed by a proprietary natural-process extended fermentation method. Bird Rock Coffee Roasters is a retailer and wholesaler focused on organic and socially responsible coffees; it was awarded the “2012 Micro-Roaster of the Year” title by Roast Magazine. Visit www.birdrockcoffee.com or call 858-551-1707 for more information.",Light,Bird Rock Coffee Roasters,"San Diego, California",https://www.coffeereview.com/review/colombia-sidra-natural-signature-selection/,0,Sweet,1,0,0,1,0,2,1,0,0,1,1,0,1,1,1,1,1,2
491,El Salvador Anarquia Pacamara,94,Very Good to Outstanding,$22.00/12 ounces,8,9,9,9,60/82,"Deep-toned, richly sweet-savory. Pomegranate, toffee, shiitake mushroom, dark chocolate, marjoram in aroma and cup. Sweetly savory structure with balanced, bright acidity; plush, syrupy mouthfeel. The resonant finish consolidates to notes of pomegranate and dark chocolate with a hint of shiitake mushroom.","Apaneca, El Salvador","Produced by Alejandro Valiente of Finca Anarquia entirely of the big-beaned Pacamara variety of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Tipico Coffee is a café and specialty coffee roaster based in Buffalo, New York. Visit www.tipicocoffee.com for more information.",Light,Tipico Coffee,"Buffalo, New York",https://www.coffeereview.com/review/el-salvador-anarquia-pacamara/,0,Sweet,1,1,0,1,0,2,1,0,0,1,1,0,0,0,1,0,0,2
