,desc_sub,review,est_price,name,roaster,roast,loc_country,origin,100g_USD,rating,review_date
18,"Sweetly savory, deep-toned. Dark chocolate, red pl","Sweetly savory, deep-toned. Dark chocolate, red plum, hop flowers, bay leaf, agave syrup in aroma and cup. Crisply sweet structure with savory undertones and gentle acidity; full, viscous mouthfeel. Gently dying finish with leading notes of dark chocolate and hop flowers.",$10.00 / 8 ounces,Guatemala Finca Las Victorias Anaerobic Natural,Euphora Coffee,Medium-Light,Taiwan,Guatemala,4.41,93,October 2022
19,"Delicate, elegant, sweetly bright. Bergamot, cocoa","Delicate, elegant, sweetly bright. Bergamot, cocoa nib, dried mango, freesia, fresh-cut oak in aroma and cup. Sweet-toned structure with sparkling acidity; silky-smooth mouthfeel. Gently citrusy, cocoa-toned finish.",NT$500/4 ounces,Colombia La Esperanza 100% Geisha Hanashaku,VERYTIME,Light,Taiwan,Colombia,14.16,94,October 2022
20,"Richly chocolaty, balanced, deep-toned. Dark choco","Richly chocolaty, balanced, deep-toned. Dark chocolate, persimmon, roasted almond butter, magnolia, oak forest in aroma and cup. Sweet in structure with vibrant, apple-like malic acidity; plush, viscous mouthfeel. Integrated, flavor-saturated, very long finish.",$45.99/12 ounces,Kona Extra Fancy,San Francisco Bay Coffee Company,Medium-Light,United States,Hawai'I,13.52,95,October 2022
21,"Delicately fruit-toned, richly tart. Raspberry jam","Delicately fruit-toned, richly tart. Raspberry jam, cocoa nib, lime, honeysuckle, cedar in aroma and cup. Sweetly tart structure with juicy acidity; syrupy-smooth mouthfeel. The finish consolidates to pleasing berry and citrus notes supported by cocoa nib.",$18.95/12 ounces,Costa Rica Las Lajas Perla Negra,Durango Coffee Companuy,Medium-Light,United States,Costa Rica,5.57,94,October 2022
22,"Deeply rich, sweet-toned. Caramel, baking chocolat","Deeply rich, sweet-toned. Caramel, baking chocolate, cane sugar, red plum, oak in aroma and cup. Sweet structure with gentle, round acidity; very full, syrupy mouthfeel. Crisply chocolaty, caramel-toned finish.",$30.00/ 12 ounces,Peru Gesha Limited-Release Homer Alarcón Gayoso,Amavida Coffee Roasters,Medium-Light,United States,Peru,8.82,93,October 2022
23,"Elegant, delicate, sweetly tart. Bergamot, dried a","Elegant, delicate, sweetly tart. Bergamot, dried apricot, cocoa nib, sage, star jasmine in aroma and cup. Delicately sweet, balanced structure with high-toned acidity; very smooth, satiny mouthfeel. Resonant, long, flavor-laden finish.",NT $460/8 ounces,Ethiopia Getu Kurume Natural,Fumi Coffee Company,Light,Taiwan,Ethiopia,6.51,95,October 2022
24,"Rich-toned, deeply sweet-savory. Red currant, must","Rich-toned, deeply sweet-savory. Red currant, mustard flower, cocoa nib, butterscotch, almond butter in aroma and cup. Balanced, richly sweet-savory structure with juicy, bright acidity; plush, syrupy mouthfeel. Finish consolidates to cocoa-toned red currant with butterscotch undertones.",NT $500/227 grams,Kenya Nyeri Asali Peaberry,Cozy House Coffee,Medium-Light,Taiwan,Kenya,7.05,95,October 2022
25,"Tropically fruity, richly chocolaty. Dried blueber","Tropically fruity, richly chocolaty. Dried blueberry, lychee, chocolate fudge, cedar, wisteria in aroma and cup. Brightly sweet-tart structure with winy acidity; plush, very viscous mouthfeel. Long, resonant, flavor-saturated finish.",$22.00/12 ounces,Ethiopia Gera Estate Anaerobic Natural,Magnolia Coffee,Medium-Light,United States,Ethiopia,6.47,95,October 2022
26,"Crisp, cocoa-toned, gently floral. Baking chocolat","Crisp, cocoa-toned, gently floral. Baking chocolate, orange zest, date, hint of narcissus, fir in aroma and cup. Sweet-tart structure with high-toned acidity; crisply satiny mouthfeel. Gently drying finish with aromatic wood notes supported by orange zest.",NT$275/8 ounces,Ethiopia Natural Guji Morel Floral Kudume,Bargain Cafe,Light,Taiwan,Ethiopia,3.89,92,October 2022
27,"Richly aromatic, gently tart. Tamarind, magnolia, ","Richly aromatic, gently tart. Tamarind, magnolia, oak, pistachio, pink grapefruit zest in aroma and cup. Sweetly tarty structure with gently brisk acidity; crisp, satiny mouthfeel. Gently drying finish centered around notes of tamarind and oak with pistachio undertones.",NT$840/225g,Colombia Cauca Finca El Paraiso Rose Tea,Rubasse Coffee Roaster,Light,Taiwan,Colombia,11.95,92,October 2022
28,"Gently sweet, crisply fruity. Dried pear, brown su","Gently sweet, crisply fruity. Dried pear, brown sugar, Brazil nut, fir, baking chocolate in aroma and cup. Sweet structure with brisk acidity; velvety-smooth mouthfeel. Satisfying simple, sweetly nut-driven finish.",NT$600/200g,Symphony Costa Rica Canet Caturra Raisin Honey,Chiming Coffee,Medium-Light,Taiwan,Costa Rica,9.6,90,October 2022
29,"Sweet-tart, gently herbaceous. Dried apricot, hone","Sweet-tart, gently herbaceous. Dried apricot, honey, cashew butter, cocoa nib, lemon verbena in aroma and cup. Crisply sweet structure with even-keeled acidity; full, syrupy mouthfeel. The finish consolidates to notes of honey and cashew butter.",$NT$1000/200g,Goddess Costa Rica Dota Tarrazu Geisha Natural,Chiming Coffee,Medium-Light,Taiwan,Costa Rica,16.0,93,October 2022
30,"Resonantly floral, fruit-driven. Narcissus, pomegr","Resonantly floral, fruit-driven. Narcissus, pomegranate, amber, dark chocolate in aroma and cup. Sweetly tart structure with gently bright, fruity acidity; lively, viscous mouthfeel. The rich, concentrated finish centers around notes of pomegranate and dark chocolate with lush undertones of amber. ",$NT$520/200g,Colombia Cauca Finca El Paraiso Double-Anaerobic Flor Lychee,JYL Cafe,Medium-Light,Taiwan,Colombia,8.32,95,October 2022
31,"Spice-toned, richly sweet. Clove, caramel, red app","Spice-toned, richly sweet. Clove, caramel, red apple, honeysuckle, oak in aroma and cup. Sweet structure with brisk acidity; full, syrupy mouthfeel. Finish consolidates to notes of baking spices and caramel.",NT$650/230g,Costa Rica Canet Musician Mozart,Balmy Day Coffee Office,Medium-Light,Taiwan,Costa Rica,9.04,92,October 2022
32,"Floral-toned, richly sweet-savory. Black cherry, d","Floral-toned, richly sweet-savory. Black cherry, dark chocolate, marjoram, sandalwood, agave syrup in aroma and cup. Sweetly tart structure with brisk acidity; syrupy-smooth mouthfeel. The finish leads with notes of black cherry, rounding to cocoa tones in the long.",NT$700/8 ounces,Colombia El Paraiso Floral Lychee,Dr. Young Cafe,Light,Taiwan,Colombia,9.91,93,October 2022
33,"Evaluated as espresso. Rich-toned, deeply chocolat","Evaluated as espresso. Rich-toned, deeply chocolaty. Dark chocolate, raspberry, molasses, hazelnut, fresh-cut oak in aroma and small cup. Very syrupy mouthfeel; chocolaty, nut-toned finish. In three parts milk, a pretty floral note suggesting gardenia surfaces alongside raspberry and chocolate.",$17.50/12 ounces,Guatemala Buena Vista Single-Origin Espresso,Temple Coffee Roasters,Medium-Light,United States,Guatemala,6.61,93,August 2021
34,"Evaluated as espresso. Rich-toned, deeply chocolat","Evaluated as espresso. Rich-toned, deeply chocolaty. Dark chocolate, raspberry, molasses, hazelnut, fresh-cut oak in aroma and small cup. Very syrupy mouthfeel; chocolaty, nut-toned finish. In three parts milk, a pretty floral note suggesting gardenia surfaces alongside raspberry and chocolate.",$22.50/12 ounces,Guatemala Buena Vista Single-Origin Espresso,Temple Coffee Roasters,Medium-Light,United States,Guatemala,6.61,93,August 2021
35,"Richly fruit-toned, deeply chocolaty. Dried raspbe","Richly fruit-toned, deeply chocolaty. Dried raspberry, dark chocolate, pink peppercorn, amber in aroma and cup. Sweet-tart structure with juicy acidity; delicate, silky-smooth mouthfeel. The finish, centered around chocolate and berry notes, is rich, resonant and long.",NT $600/50 grams,Taiwan Natural Alishan Zhuo-Wu Geisha,Kakalove Cafe,Medium-Light,Taiwan,Taiwan,1.36,95,October 2022
36,"Richly sweet-tart, fruity and juicy. Dried pineapp","Richly sweet-tart, fruity and juicy. Dried pineapple, dark chocolate, frankincense, wisteria, pistachio in aroma and cup. Richly sweet-savory structure with high-toned acidity; syrupy, viscous mouthfeel. The fruit-driven finish is complicated by notes of wisteria and dark chocolate. ",NT $325/8 ounces,Ethiopia Natural Guji Uraga Tome 74110 Lot K06,Kakalove Cafe,Light,Taiwan,Ethiopia,4.6,95,October 2022
37,"Crisply sweet-savory, spice-toned. Baking chocolat","Crisply sweet-savory, spice-toned. Baking chocolate, black cherry, freesia, lemongrass, fresh-cut fir in aroma and cup. Sweetly savory structure with gentle acidity; velvety-smooth mouthfeel. The resonant finish consolidates to notes of crisp chocolate and lemongrass.",NT $450/200 grams,Ethiopia Biloya Washed G1,Golin Coffee Roasters,Light,Taiwan,Ethiopia,7.2,92,October 2022
38,"Delicately floral-toned. Wisteria, pear, maple syr","Delicately floral-toned. Wisteria, pear, maple syrup, almond, lime zest in aroma and cup. Crisply sweet with vibrant acidity; lightly satiny mouthfeel. Almond and pear notes lead the gentle, pleasing finish.",NT $500/200 grams,Ethiopia Birbisakela Washed G1,Golin Coffee Roasters,Light,Taiwan,Ethiopia,8.0,92,October 2022
39,"Richly fruit-driven, invitingly aromatic. Lychee, ","Richly fruit-driven, invitingly aromatic. Lychee, violet, cocoa nib, thyme, agave syrup in aroma and cup. Sweet-savory structure with bittersweet acidity; full, syrupy-smooth mouthfeel. The finish centers around notes of lychee and thyme with cocoa undertones.",NT $450/200 grams,Ethiopia Sidamo Bensa Washed G1,Golin Coffee Roasters,Light,Taiwan,Ethiopia,7.2,93,October 2022
40,"Crisply cocoa- and berry-toned. Raspberry, cocoa n","Crisply cocoa- and berry-toned. Raspberry, cocoa nib, brown sugar, hazelnut, fir in aroma and cup. Sweet-tart structure with brisk acidity; full, syrupy mouthfeel. The gently drying finish consolidates to notes of brown sugar and fir.",$25.00/12 ounces,Colombia Buesaco,Old World Coffee Lab,Medium-Light,United States,Colombia,7.35,92,October 2022
41,"Sweetly sweet-savory. Red currant, violet, oregano","Sweetly sweet-savory. Red currant, violet, oregano, cocoa nib, cedar in aroma and cup. Sweet structure with vibrant, balanced acidity; satiny-smooth mouthfeel. The subtle finish consolidates to notes of red currant and cocoa nib.",NT $520/227 grams,Kenya AA,AKA Coffee Roasters,Medium-Light,Taiwan,Kenya,7.33,93,October 2022
42,"Berry-driven, invitingly sweet-tart. Dried mulberr","Berry-driven, invitingly sweet-tart. Dried mulberry, cocoa nib, pink grapefruit zest, tea rose, fresh-cut oak in aroma and cup. Sweet-toned structure with brisk acidity; plush, syrupy mouthfeel. The long, lingering finish consolidates to notes of cocoa-toned mulberry and oak.",$8.40/4 ounces,Ethiopia Bekele Heto Natural,Bassline Coffee,Light,United States,Ethiopia,7.41,93,October 2022
43,"Complex, richly bittersweet. Cocoa nib, goji berry","Complex, richly bittersweet. Cocoa nib, goji berry, myrrh, cashew butter, hop flowers in aroma and cup. Sweetly savory structure with juicy acidity; crisp, lightly syrupy mouthfeel. The resonant finish leads with goji berry and hop flowers in the short, rounding to cashew butter in the long.",$18.05/12 ounces,Kenya Karindundu AB,Blanchard's Coffee,Medium-Light,United States,Kenya,5.31,93,October 2022
44,"Balanced, vibrant, juicy. Black currant, narcissus","Balanced, vibrant, juicy. Black currant, narcissus, toffee, cedar, pink grapefruit zest in aroma and cup. Sweet-toned structure with vivacious, sparkling acidity; crisp, velvety mouthfeel. The finish consolidates to toffee and cedar.",$23.50/12 ounces,Kenya Ichuga AA,ILSE Coffee Roasters,Medium-Light,United States,Kenya,6.91,93,October 2022
45,"Sweetly tart, crisply herbaceous. Gooseberry, sage","Sweetly tart, crisply herbaceous. Gooseberry, sage, magnolia, baking chocolate, pine nut in aroma and cup. Juicy, sweet-tart structure; plump, satiny mouthfeel. Crisp chocolate notes dominate in the finish with undertones of gooseberry and sage.",NT $680/230 grams,Costa Rica Canet Raisin Honey,Rest Coffee Roasters,Light,New Taiwan,Costa Rica,9.46,93,October 2022
46," Cocoa-toned, juicy and vibrant. Cocoa nib, bergam"," Cocoa-toned, juicy and vibrant. Cocoa nib, bergamot, red plum, jasmine, cedar in aroma and cup. Balanced, sweet-toned structure with malic, apple-like acidity; dry, crisp mouthfeel. The cocoa toned finish is complicated by red plum and cedar.",$18.00/12 ounces,Birhanu Sisters’ Ethiopia,Swelter Coffee,Medium-Light,United States,Ethiopia,5.29,93,October 2022
47,"Crisply chocolaty, floral-toned. Baking chocolate,","Crisply chocolaty, floral-toned. Baking chocolate, honeysuckle, dried persimmon, almond nougat, fresh-cut oak in aroma and cup. Richly sweet structure with gentle, round acidity; plush, buttery mouthfeel. Chocolaty and floral finish with undertones of almond.",$20.00/12 ounces,Bat Country Dark Roast Ethiopia,Sightseer Coffee,Medium,United States,Ethiopia,5.88,92,October 2022
48,"Gently fruit-toned, integrated and balanced. Pinea","Gently fruit-toned, integrated and balanced. Pineapple, almond nougat, redwood, narcissus, marjoram in aroma and cup. Sweetly tart with juicy, high-toned acidity; vibrant, syrupy mouthfeel. The finish centers around notes of pineapple and almond.",$26.00/12 ounces,Peru Incahuasi,Press Coffee,Medium-Light,United States,Peru,7.64,94,October 2022
49,"Richly sweet, spice-toned. Lemon verbena, peach, c","Richly sweet, spice-toned. Lemon verbena, peach, cocoa nib, magnolia, almond butter in aroma and cup. Balanced, bittersweet structure with vibrant, juicy acidity; delicate, silky-smooth mouthfeel. The resonant, lingering finish centers around cocoa-toned peach and almond notes.",$19.00/12 ounces,Colombia Aponte’s Guardians,Press Coffee,Medium-Light,United States,Colombia,5.58,93,October 2022
50,"Gently sweet-tart, floral-toned. Pomegranate, lila","Gently sweet-tart, floral-toned. Pomegranate, lilac, pistachio, orange zest, fresh-cut oak in aroma and cup. Crisply sweet-tart structure with delicately bright acidity; silky-smooth mouthfeel. The tart-leaning finish leads with notes of pomegranate and orange zest, supported by oak and pistachio.",NT $520/227 grams,Ethiopia Bench Maji Geisha G1 Natural,Taster's Coffee,Light,Taiwan,Ethiopia,7.33,93,October 2022
51,"Resonantly juicy, richly sweet-tart. Black currant","Resonantly juicy, richly sweet-tart. Black currant, lavender, dark chocolate, Meyer lemon zest, fine musk in aroma and cup. Sweet-tart structure with vibrant, lively acidity; plush, syrupy mouthfeel. The finish is long, deep, rich, and crisply sweet. ",NT $550/200 grams,Ethiopia Guji Uraga More Floral Kudume Washed,GK Coffee,Light,Taiwan,Ethiopia,8.8,95,October 2022
52,"Richly bittersweet, complex, fruit-driven. Chocola","Richly bittersweet, complex, fruit-driven. Chocolate fudge, dried apricot, candied mandarin zest, pistachio brittle, narcissus in aroma and cup. Invitingly bittersweet structure with high-toned, lively acidity; crisp, satiny mouthfeel. The finish centers around notes of chocolate fudge and dried apricot, with undertones of bittersweet mandarin zest into the long. ",NT $550/200 grams,Ethiopia Guji Uraga More Floral Kudume Natural,GK Coffee,Medium-Light,Taiwan,Ethiopia,8.8,94,October 2022
53,"Savory-sweet, richly aromatic. Red currant, candyc","Savory-sweet, richly aromatic. Red currant, candycap mushroom, tangerine zest, dark chocolate, cedar in aroma and cup. Savory-sweet structure with high-toned, juicy acidity; full, creamy mouthfeel. Chocolaty finish with notes of red currant and tangerine zest in the short, candycap mushroom in the long.",$21.95/12 ounces,Kenya Nyeri Hill,Roadmap CoffeeWorks,Medium-Light,United States,Kenya,6.45,94,October 2022
54,"Juicy, bright, classic. Sweetly savory, deep-toned","Juicy, bright, classic. Sweetly savory, deep-toned. Black currant, amber, brown sugar, magnolia, cedar in aroma and cup. Balanced, sweet-savory structure with vibrant acidity; syrupy-smooth mouthfeel. The resonant finish consolidates to cocoa-toned florals and fruit.",NT $400/8 ounces,Kenya AA TOP Nairobi Rose,David's Nose,Medium-Light,Taiwan,Kenya,5.66,94,September 2022
55,"Richly chocolaty, harmoniously juicy and bright. D","Richly chocolaty, harmoniously juicy and bright. Dark chocolate fudge, pomelo, star jasmine, cedar, marjoram in aroma and cup. Sweet-savory structure with complex, bittersweet acidity; full, creamy mouthfeel. Resonant, long, flavor-laden finish.",$47.95/8 ounces,Kahiko,Hula Daddy Kona Coffee,Medium-Light,Hawai'i,Hawai'I,21.14,96,September 2022
56,"Balanced, richly sweet, spice-toned. Apricot, coco","Balanced, richly sweet, spice-toned. Apricot, cocoa nib, lilac, coriander, amber in aroma and cup. Deep, sweet-savory structure with bright acidity; syrupy-smooth mouthfeel. The finish is both crisp and juicy, leading with notes of apricot and coriander in the short and rich, cocoa-toned florals in the long.",$27.00/14 ounces,Kenya Ndumberi Peaberry,Mostra Coffee,Medium-Light,United States,Kenya,6.8,94,September 2022
57,"Sweetly tart, floral-toned. Tea rose, raspberry co","Sweetly tart, floral-toned. Tea rose, raspberry coulis, cocoa nib, watermelon rind, almond brittle in aroma and cup. High-toned structure with winey acidity; crisply satiny mouthfeel. Exceptionally long, harmonious finish that exhilaratingly extends the promise of the cup.",$19.50/10 ounces,Ethiopia Gera Reserve Anaerobic Natural,Branch Street Coffee Roasters,Light,United States,Ethiopia,6.88,94,September 2022
58,"Bright, richly sweet, complex. Red currant, jasmin","Bright, richly sweet, complex. Red currant, jasmine, dark chocolate, tangerine zest, maple syrup in aroma and cup. Sweetly savory structure, with juicy-bright acidity. Crisply silky mouthfeel. The balanced, integrated finish is centered around notes of red currant and dark chocolate, with hints of tangerine zest into the long.",$27.00/14 ounces,Kenya Ngaita Peaberry,Mostra Coffee,Medium-Light,United States,Kenya,6.8,94,September 2022
59,"Complex, multi-layered. Almond brittle, black cher","Complex, multi-layered. Almond brittle, black cherry, dark chocolate, narcissus, mustard seed in aroma and small cup. Sweetly savory with juicy acidity; syrupy-smooth, lively mouthfeel. Resonant, long, flavor-saturated finish consolidates to suggestions of black cherry and almond brittle. ",NT $750/230 grams,Kenya AB,Dory Coffee Roasters,Light,Taiwan,Kenya,10.43,94,September 2022
60,"Delicately rich, vibrantly sweet-savory. Wisteria,","Delicately rich, vibrantly sweet-savory. Wisteria, dark chocolate, lychee, candied orange zest, allspice in aroma and cup. Sweetly tart structure with full, syrupy mouthfeel. The long finish consolidates to notes of wisteria and allspice.",NT $450/8 ounces,Ecuador Pichincha Finca Flora,Chousin Coffee Collection,Light,Taiwan,Ecuador,6.37,93,September 2022
61,"Delicately rich, vibrantly sweet-savory. Wisteria,","Delicately rich, vibrantly sweet-savory. Wisteria, dark chocolate, lychee, candied orange zest, allspice in aroma and cup. Sweetly tart structure with full, syrupy mouthfeel. The long finish consolidates to notes of wisteria and allspice.",$16.95/12 ounces,Ecuador Pichincha Finca Flora,Chousin Coffee Collection,Light,Taiwan,Ecuador,6.37,93,September 2022
62,"Rich-toned, chocolaty. Baking chocolate, black cur","Rich-toned, chocolaty. Baking chocolate, black currant, freesia-like flowers, clove, agave syrup in aroma and cup. Sweet structure with gentle, round acidity; full, satiny mouthfeel. The delicate finish leads with chocolate and freesia in the short, clove and agave syrup in the crisp-toned long.",NT $500/8 ounces,Kenya Nyeri Maganjo AB,Chousin Coffee Collection,Light,Taiwan,Kenya,7.08,92,September 2022
63,"Elegantly fruit-toned, gently spice-driven. Date, ","Elegantly fruit-toned, gently spice-driven. Date, clove, blood orange, baking chocolate, cedar in aroma and cup. Complex bittersweet structure with winey acidity; plush, syrupy mouthfeel. The resonant finish is centered around notes of date, blood orange and clove.",$29.00/4 ounces,Kona Noir,Big Island Coffee Roasters,Light,Hawai'i,Hawai'I,25.57,94,September 2022
64,"Richly sweet-tart, deeply chocolaty. Dark chocolat","Richly sweet-tart, deeply chocolaty. Dark chocolate, pomegranate, lemon verbena, agave syrup, pink grapefruit zest in aroma and cup. Sweetly tart structure with apple-like malic acidity; very full, smooth, viscous mouthfeel. The finish consolidates to notes of pomegranate and dark chocolate with undertones of pink grapefruit zest.",$49.00/10 ounces,Kona Red Bourbon,Big Island Coffee Roasters,Medium-Light,Hawai'i,Hawai'I,17.28,94,September 2022
65,"Rich-toned, expressively layered, deeply sweet-sav","Rich-toned, expressively layered, deeply sweet-savory. Ginger flower, toasted coconut, dried red currant, wild honey, cedar in aroma and cup. Savory-sweet structure with high-toned, vibrant acidity; plush, creamy mouthfeel. The long, intense finish is centered around notes of ginger and wild honey, with supporting notes of red currant and coconut.",NT $390/8 ounces,Kenya Washed Nyeri Hill Farm AA Top,Kakalove Cafe,Medium-Light,Taiwan,Kenya,5.52,96,September 2022
