,review
27,complex uniquely sweet tropical plumeria roasted cacao nib mango sandalwood nougat in aroma and cup sweetly tart structure with bright juicy acidity syrupy mouthfeel the finish carries through on the promise of the cup with rich florals in the short and deep fruit notes in the long where a new element a soft fruit tone suggesting coconut surfaces
28,spice toned richly sweet raspberry dark chocolate hazelnut gardenia bergamot in aroma and cup sweet fruit forward structure full satiny mouthfeel the resonant flavor saturated finish is characterized by notes of rich chocolate with berry and bittersweet citrus complications
29,sweet deep intense but balanced peach maple syrup sandalwood grapefruit zest almond magnolia in aroma and cup round resonantly and sweetly bright in structure silky and buoyant in mouthfeel deep long flavor saturated finish
30,crisply and sweetly tart delicate yet confident peach vanilla bean grapefruit zest almond pink peppercorn in aroma and cup poised in structure sweet tart savory mouthfeel is cushiony plush flavor saturates a savory edged drying finish
31,spice toned chocolaty chocolate toned malt date hazelnut fresh pipe tobacco stick cinnamon in aroma and cup richly bittersweet in structure velvety smooth mouthfeel the finish is richly chocolate toned with a hint of cinnamon
32,deeply sweet delicately zesty complexly fruit and floral toned peach grapefruit zest alyssum like flowers dark chocolate cinnamon in aroma and cup sweetly tart in structure with a deepening savory bitter edge light satiny mouthfeel flavor saturates a deep richly floral and chocolate toned finish
33,evaluated as espresso crisply sweet tart frangipane dark chocolate cedar tamarind jasmine in aroma and small cup crisp velvety mouthfeel nut toned richly tannic finish in cappuccino scaled milk invitingly bittersweet with notes of dark chocolate and jasmine in harmony
34,richly sweet crisply complex spice toned lilac bergamot white peach caramelized walnut sandalwood in aroma and cup delicate sweetly tart juicy in structure crisp satiny mouthfeel the quietly resonant finish is flavor saturated stonefruit and bergamot carry the short and sandalwood nuanced lilac notes resurface in the long
35,delicate crisply sweet dried coconut baker s chocolate candied violet cedar nutmeg in aroma and cup balanced sweet tart structure silky mouthfeel the gently drying finish is carried by notes of chocolate toned coconut in the short and cedar in the long with a whisper of sweet candied violet
36,sweet toned fruit forward raspberry cedar baker s chocolate gardenia molasses in aroma and cup bittersweet structure velvety mouthfeel the crisp gently drying finish leads with notes of chocolate toned berries in the short and spicy sweet florals and aromatic wood notes in the long
37,richly sweet high toned maple syrup orange zest roasted cacao nib peach cedar in aroma and cup sweet tart structure satiny mouthfeel the resonant finish has a throughline of roasted cacao nib accompanied by notes of peach and maple syrup in the short and orange zest and cedar in the long
38,vibrant richly sweet clear toned roasted cacao nib ginger blossom dried fig sandalwood sugar cane in aroma and cup lushly sweet tart in structure with juicy acidity crisp velvety mouthfeel the deep resonant finish is flavor laden fulfilling the promise of the cup with spicy floral notes in the short and cocoa toned fruit in the long
39,delicate sweetly spice toned red currant lemon verbena baker s chocolate rose hips a hint of cannabis in aroma and cup crisply sweet savory structure crisp velvety mouthfeel the finish is sweetly herb toned leading with notes of lemon verbena and red currant in the short and a sweet muskiness akin to cannabis in the long with a throughline of baker s chocolate
40,sweetly savory layered rhododendron like flowers cinnamon baker s chocolate cedar red currant in aroma and cup round savory leaning structure crisp velvety mouthfeel the quiet finish centers on notes of vanilla like florals and baker s chocolate with a hint of cinnamon
41,richly sweet chocolate toned molasses baker s chocolate lily cedar black peppercorn in aroma and cup bittersweet structure with round gentle acidity velvety smooth mouthfeel the finish is thoroughly chocolate toned leading with baker s chocolate in the short complicated by deep florals and aromatic wood rounding to cocoa powder and molasses in the long
42,deeply sweet intensely pungent dark chocolate tangerine zest star jasmine maple syrup frankincense in aroma and cup deeply sweet toned in structure with lively bright acidity satiny mouthfeel the finish is as elegant as the cup implies flavor saturated floral chocolate and fruit toned in both short and long
43,richly savory sweetly herb toned baker s chocolate fennel black cherry cedar wisteria like flowers in aroma and cup round deeply sweet in structure syrupy mouthfeel the cocoa toned finish leads with black cherry in the short which settles into a cedar toned flowers in the long
44,delicately sweet tart fruit toned strawberry aged rum cocoa powder pink peppercorn celery seed in aroma and cup sweetly fermenty in structure satiny smooth in mouthfeel a hint of aged rum carries the finish accompanied by berry notes in the short and spice toned savory notes in the long
45,gently bittersweet deeply floral toned baker s chocolate aromatic orchid hazelnut oak in aroma and cup low toned crisply bittersweet in structure mouthfeel is light though silky the finish consolidates to a rich oaky chocolate
46,resonantly fruit forward elegant complex honey dried raspberry chocolate truffle aged rum a hint of marjoram in aroma and cup juicy rich structure with bright vibrant acidity full satiny mouthfeel a suggestion of sweet marjoram complicates the rich flavor saturated finish which leads with honey and raspberry notes in the short rounding to chocolate and aged rum in the long
47,crisply sweet spice toned dried papaya caramel tangerine zest pink peppercorn vanilla in aroma and cup high toned sweetly tart in structure with juicy bright acidity lean though satiny smooth mouthfeel the resonant richly drying finish is laden with sweet notes of caramel and papaya in the short turning more savory leaning in the long with hints of pink peppercorn wrapped in vanilla
48,resonantly bright floral toned jasmine frankincense cardamom toffee apricot in aroma and cup balanced sweetly tart structure with juicy acidity crisp velvety mouthfeel the deep flavor saturated finish leads with caramel toned apricot in the short with rich florals resurfacing in the long
49,deeply rich spicy sweet pear cedar vanilla grapefruit zest cumin in aroma and cup tartly bittersweet in structure full syrupy though drying mouthfeel resonant finish consolidates around pear and a floral toned vanilla
50,delicate deeply sweet complexly layered passionfruit roasted cacao nib frankincense lilac almond in aroma and cup balanced sweet tart structure with juicy acidity crisp satiny mouthfeel the richly cocoa toned finish is redolent of tropical fruit and fragrant aromatic wood
51,deep intense sweetly perfumy savory edged dark chocolate vanilla dried mango sandalwood a hint of dried mint in aroma and cup very sweet though also rather drying and tannic in structure satiny mouthfeel resonant flavor saturated finish sweet yet spicy particularly impressive in the long
52,evaluated as espresso intensely chocolaty vivaciously fruit toned dark chocolate narcissus pie cherry molasses sandalwood in aroma and small cup rich syrupy mouthfeel a resonant finish leads with cherry and narcissus notes in the short and sandalwood toned chocolate in the long in three parts milk dark chocolate envelopes deeply stated fruit and floral notes
53,fruit forward delicate yet intense complex flowers lily to lavendar sandalwood dark chocolate plum a hint of brandy in aroma and cup roundly and deeply crisp in structure lightly satiny in mouthfeel the finish is resonant and sweet with chocolate and a continuing hint of brandy
54,delicate sweetly tart roasted cacao nib honeysuckle tamarind spearmint plum in aroma and cup balanced structure with brisk acidity crisp satiny mouthfeel bittersweet in the short finish and sweetly wood framed in the long
55,delicate but richly intricate cocoa almond paste lemon verbena hints of lily and grappa like spirits in aroma and cup savory sweet and brisk though juicy in structure very lightly syrupy in mouthfeel the finish is deeply savory sweet and crisply flavor saturated
56,deeply and richly sweet spice toned lavender mulberry bay leaf lemon zest allspice in aroma and cup sweet toned structure with vibrant acidity buoyant silky mouthfeel the long resonant finish is laden with spice toned floral notes and bright berry suggestions
57,richly sweet floral toned wisteria roasted cacao nib almond caramel hint of musk in aroma and cup balanced sweetly tart structure with juicy acidity crisply velvety mouthfeel the finish consolidates to a pretty cocoa toned musk in the short with almond and caramel resurfacing in the long
58,delicate but deeply and quietly intense cocoa peach fresh cut fir brown sugar a hint of lush lily like flowers in aroma and cup balanced crisply sweet in structure light footed and lively in mouthfeel cocoa dominates in a resonant flavor saturated finish
59,big round deeply resonant layered fresh cut cedar baker s chocolate autumn squash a hint of thyme in aroma and cup sweet savory low toned in structure full syrupy in mouthfeel in the finish most flavor details fade but a powerful chocolate complicated sweetness rings on
60,roundly and sweetly citrusy ripe tangerine caramel freesia like flowers cedar a hint perhaps of fresh parsley like herb in aroma and cup sweetly and gently tart pure and juicy in structure very smooth fullish satiny mouthfeel flavor consolidates in a layered resonant finish
61,lush vibrant intricate and balanced fine musk dried jasmine passionfruit bergamot dark chocolate in aroma and cup complex richly sweet structure with bright acidity buoyant silky mouthfeel the resonant finish fulfills the promise of the cup carrying all of the flavor notes including a hint of white sage well into the long
62,delicate crisply sweet savory roast rounded dark chocolate orange blossom almond sandalwood tamari in aroma and cup savory sweet in structure with gentle acidity crisp satiny mouthfeel the finish is rich with notes of dark chocolate and almond in the short with savory sweet hints of tamari and sandalwood incense in the long
63,deeply sweet richly wood framed watermelon candy sandalwood narcissus like flowers toasted pecan maple syrup in aroma and cup bittersweet structure crisp satiny mouthfeel aromatic wood leads in the short finish while notes of watermelon candy think jolly rancher and sweet florals resurface in the long
64,deeply and richly sweet strawberry peach sandalwood almond butter chrysanthemum in aroma and cup sweetly tart structure crisp satiny mouthfeel the quiet finish consolidates around notes of almond and sandalwood
65,intricately layered deeply and sweetly pungent roasted cacao nib lemon zest lilac candied ginger frankincense in aroma and cup sweet tart structure with bright juicy acidity full syrupy mouthfeel the complex finish sustains all of the flavor notes from the cup sweet flowers in particular
66,richly sweet spice toned dried cherry lemon zest baker s chocolate cashew a hint of cayenne in aroma and cup delicate sweetly tart structure with bright acidity crisp velvety mouthfeel the flavor saturated finish centers on citrus notes and chocolate in the short with a suggestion of cayenne in the long
67,sweetly pungent high toned dried apple orange blossom toffee cedar dark chocolate in aroma and cup sweetly tart structure with juicy acidity buoyant silky mouthfeel the finish is deeply sweet and resonant with notes of orange blossom and toffee in the short rounding to chocolate in the long
68,balanced and bright with a savory root vegetable depth lemon verbena ripe orange zest roasted cacao nib rhododendron a hint of brothy cooked root vegetables in aroma and cup structure is quietly sweet tart with a savory edge the mouthfeel round syrupy and full the finish is richly drying consolidating around cacao nib and a ripe zesty orange
69,crisp delicate yet intense and original lush rose like flowers dark chocolate cedar almond ripe pineapple in aroma and cup balanced and complete in structure poised at a round satisfying intersection of sweet tart and bitter light but syrupy in texture layered and resonant in the finish rose chocolate almond all ring on
70,bright richly sweet lime blossom raspberry jam sandalwood roasted cacao nib maple syrup in aroma and cup sweetly tart in structure with juicy acidity viscous buoyant mouthfeel the finish leads with citrus and berry notes in the short segueing to sandalwood framed sweet florals in the long
71,richly sweet fruit toned raspberry jam almond butter rhododendron like flowers grappa cocoa powder in aroma and cup sweet tart structure with fruit forward acidity plush syrupy mouthfeel the finish consolidates around deep raspberry and cocoa notes with a heady hint of sweet ferment
72,delicate intricately sweet dried mango roasted cacao nib honeysuckle freesia like flowers a hint of cumin in aroma and cup deeply rich balanced structure crisp satiny mouthfeel the finish is animated by lively mango and freesia notes in the short quieting to cocoa toned honeysuckle in the long
73,richly sweet spice toned black currant molasses amber oil allspice wisteria like flowers in aroma and cup deeply sweet structure smooth rounded acidity the finish displays an unusual sweetly musky quality suggesting amber oil complicated by black currant and wisteria
74,high toned richly sweet savory mango honey lemongrass oak narcissus in aroma and cup balanced sweetly savory structure with lively acidity crisp though velvety mouthfeel the sweetly herb toned finish is redolent of lemongrass supported by mango honey and a hint of oak
75,lush high toned richly sweet apricot bergamot zest nougat sandalwood honeysuckle in aroma and cup deeply sweet in structure with juicy bright acidity plump syrupy mouthfeel the finish is seemingly eternal resonant with all the flavor notes from the cup stone fruit citrus zest nutty caramel aromatic wood and sweet florals
76,high toned deeply sweet black currant honey sandalwood narcissus like flowers roasted cacao nib in aroma and cup sweet tart in structure with juicy bright acidity full syrupy smooth mouthfeel the resonant finish consolidates to notes of black currant and honey in the short rich cocoa toned sandalwood in the long
77,intensely pungent richly vibrant deeply sweet startlingly original complex spice cinnamon clove nutmeg herb fresh cilantro parsley baker s chocolate lime zest sweetly pungent spirits brazilian cachaça in aroma and cup deeply sweet and roundly tart in structure full syrupy mouthfeel the shifting layered intrigue in the cup carries far into a long resonant finish
78,evaluated as espresso layered complex dark chocolate mango grapefruit zest cedar lily like flowers in aroma and small cup lightly syrupy lively mouthfeel mango chocolate and a hint of flowers persist in a deeply resonant finish crisply lively in three parts milk continued chocolate and mango like fruit while the floral suggestions hint at butterscotch
79,evaluated as espresso roundly and sweetly tart pungent baker s chocolate almond cedar tangerine zest wisteria like flowers in aroma and small cup syrupy full mouthfeel flavor consolidates in a rather dry though pleasingly chocolate and cedar toned finish crisp in three parts milk dry chocolate and rich floral hints
80,crisp sweetly tart concord grape baker s chocolate cedar musk magnolia in aroma and cup balanced sweet tart in structure with juicy acidity full satiny mouthfeel the resonant finish leads with fruit and floral tones rounding to baker s chocolate in the long
81,fruit forward spice toned raspberry jam clove rum cordial fresh cut fir dried hibiscus in aroma and cup sweetly tart structure with brisk acidity lightly creamy mouthfeel clove and raspberry drive the sweet toned short finish while notes of fresh cut fir reappear in the long
82,delicate sweetly spice toned peach blossom hazelnut pink peppercorn lime zest cedar in aroma and cup sweet tart in structure with lively balanced acidity plush syrupy mouthfeel the finish consolidates to peach blossom and hazelnut in the short with lime zest and cedar resurfacing in the long
83,crisp sweetly savory butterscotch mesquite cocoa powder cooked acorn squash fine musk in aroma and cup sweet savory in structure with brisk acidity lightly syrupy mouthfeel the finish is carried both short and long by notes of cocoa and rich aromatic wood
84,crisp delicately sweet baker s chocolate violet like flowers papaya macadamia nut molasses in aroma and cup balanced bittersweet structure impressively buoyant velvety mouthfeel the resonant flavor saturated finish consolidates around notes of violet and papaya with a throughline of molasses like sweetness
85,high toned deeply sweet honeysuckle blackberry cardamom tangerine zest sandalwood in aroma and cup sweet tart structure with vibrant acidity buoyant satiny mouthfeel the flavor saturated finish leads with rich floral notes and crisply sweet suggestions of mixed berries
86,sweetly spice toned deeply rich bergamot almond fresh parsley gardenia oak in aroma and cup crisply sweet softly tart in structure plush full mouthfeel the rich resonant finish carries over all the notes from the cup a nut toned bergamot in particular
87,wildly disconcertingly original sweetly tart simultaneously fruit and earth toned bright yet lush fresh clover earth fresh pressed red grape juice dark chocolate white peppercorn in aroma and cup juicy sweet yet zesty and savory in structure full syrupy mouthfeel the finish is resonant and intensely flavor saturated
88,crisply sweet fruit toned blackberry baker s chocolate freesia hazelnut cedar in aroma and cup sweet tart structure with bright acidity velvety textured crisp mouthfeel the cocoa toned finish has a berry throughline enveloped by spicy floral notes
89,richly sweet savory roast cradled toasted coconut black currant tamari roasted almond myrrh lavender in aroma and cup sweetly savory in structure with balanced juicy acidity buoyant syrupy mouthfeel the richly drying finish consolidates to notes of lavender and tamari roasted almond
90,rich toned subtly complex pineapple sandalwood jasmine honey cocoa in aroma and cup deeply sweet in structure with juicy acidity plush syrupy mouthfeel the resonant finish leads with cocoa toned pineapple in the short rounding to jasmine in the long
91,multi layered intricate raspberry chocolate fudge lavender vanilla rum cordial in aroma and cup sweetly tart in structure with fruit toned acidity lightly syrupy mouthfeel the finish is crisp and richly drying with notes of chocolate and lavender in the short and fruit infused rum in the long
92,deeply sweet richly savory lemongrass graham cracker sassafras roasted cacao nib jasmine in aroma and cup sweet savory structure with round acidity satiny smooth mouthfeel the short finish is resonant with notes of lemongrass and jasmine rounding to cocoa and graham cracker in the long
93,crisp balanced richly sweet maple syrup apricot hop flowers nougat roasted cacao nib in aroma and cup sweet savory structure with lively acidity full satiny mouthfeel notes of maple syrup and apricot pleasantly dominate the finish with enticing hints of bittersweet hop like florals
94,richly savory deeply sweet ginger blossom almond brittle pear fresh moist forest notes wildflower honey in aroma and cup structured balance among sweet tart and savory tastes crisp velvety mouthfeel the honey toned finish leads with ginger blossom in the short and notes of pear and almond in the long
95,sweetly roast rounded cocoa toned baker s chocolate black currant rose hip singed cedar almond brittle in aroma and cup crisply sweet tart structure delicate syrupy mouthfeel the richly drying finish centers around tart floral notes and baker s chocolate
96,delicate quietly sweet toned roasted cacao nib red grape fresh cut fir lemon zest gardenia like flowers in aroma and cup gentle rounded structure crisp satiny mouthfeel the finish consolidates to notes of lemon zest and gardenia with a hint of fresh cut fir
97,nuanced multi layered richly sweet lavender roasted cacao nib salted caramel sweet aromatic mushroom a moist foresty hint in aroma and cup deeply sweet savory in structure with bright juicy acidity plush velvety mouthfeel the finish is resonant and flavor saturated fulfilling the promise of the cup well into the long
98,high toned crisply sweet maple syrup orange zest honeysuckle like flowers cedar almond butter in aroma and cup sweetly and roundly tart structure full satiny mouthfeel the richly drying finish is redolent of honeysuckle and orange zest in the short rounding to buttery nut suggestions in the long
99,richly sweet savory spice toned black currant roasted cacao nib freesia like flowers almond molasses in aroma and cup sweet savory in structure with crisply bright acidity velvety mouthfeel the quietly nuanced finish centers around black currant and freesia tones in the short molasses and almond in the long
100,briskly sweet tart fruit forward dark chocolate maraschino cherry pipe tobacco caramel almond in aroma and cup bittersweet instructure with gentle rounded acidity full syrupy mouthfeel the drying cocoa toned finish leads with dark chocolate in the short with maraschino cherry resurfacing in the long
101,richly sweet spice toned ripe banana roasted cacao nib elm freesia like flowers roasted cashew in aroma and cup roundly sweet tart structure lightly velvety mouthfeel the crisp richly drying finish consolidates around notes of cashew cacao nib and a hint of spicy florals
102,delicate chocolate toned dark chocolate hazelnut raisin hints of lily and oak in aroma and cup balanced sweet toned structure satiny smooth mouthfeel the long finish is quietly flavor saturated
103,delicate sweet toned softly bright and balanced caramel vanilla bean cedar almond candied lemon zest in aroma and cup gently brisk in structure light in mouthfeel sweet citrus framed by aromatic cedar carry into a short but pleasing finish
104,deeply and sweetly pungent juicy black currant orange zest cocoa lavender oak in aroma and cup sweetly and gently tart in structure gently savory edged light but silky lively mouthfeel quietly rich finish orange zest and lavender
105,round balanced with a quiet but deeply layered complexity blackberry cocoa pear lavender roasted macadamia in aroma and cup sweetly and roundly bright in structure plush and lightly syrupy in mouthfeel a richly resonant finish consolidates around cocoa lavender and pear
106,delicate sweetly bright and gently lemony ripe lemon zest fresh cut cedar carnation roasted cashew cocoa in aroma and cup roundly and lightly sweet tart in structure satiny in mouthfeel quietly resonant in the finish flowers and cedar
107,rich toned fruit forward strawberry baker s chocolate honeysuckle like flowers almond frankincense in aroma and cup bittersweet structure with brisk acidity plush syrupy mouthfeel the short finish is centered around berry and floral notes while cocoa toned almond with a hint of frankincense characterizes the long
108,deeply rich sweet savory rhododendron mango almond brittle thyme oak in aroma and cup sweet toned savory structure full satiny mouthfeel the gently drying finish consolidates to notes of oak and almond with a hint of sweet herb suggesting thyme
109,brightly sweet with a savory depth lemon verbena roasted cacao nib rhododendron date cedar in aroma and cup quietly sweet tart structure delicate silky mouthfeel the finish is richly drying consolidating around cacao nib and lemon verbena
110,richly sweet crisply tart butterscotch lemon zest peach honey fresh cut cedar in aroma and cup balanced delicately sweet tart structure with vibrant acidity crisp satiny mouthfeel the flavor saturated finish consolidates to notes of butterscotch and lemon zest with a hint of cedar
111,richly sweet spice toned baker s chocolate cinnamon banana cashew citrusy lantana flowers in aroma and cup bittersweet in structure with juicy acidity velvety smooth mouthfeel notes of baker s chocolate and banana are sweetly resonant in the short finish spice toned florals resurface in the long
112,rich toned balanced deeply sweet apricot dark chocolate hazelnut citrusy lantana flowers cinnamon in aroma and cup crisply sweet in structure with lively acidity lightly syrupy mouthfeel notes of sweet tart stone fruit carry into the long finish supported by dark chocolate and a hint of cinnamon like spice
113,sweetly roast rounded richly savory dark caramel pipe tobacco date almond hops in aroma and cup sweet savory in structure with rounded acidity plump syrupy mouthfeel the finish leads with notes of date and pipe tobacco in the short with almond and hops returning in the long
114,elegant intricately rich lemon verbena raw honey mango star jasmine roasted cacao nib in aroma and cup vibrantly sweet tart in structure with juicy acidity syrupy mouthfeel the crisp cocoa toned finish consolidates to notes of lemon verbena and jasmine
115,fruit toned engagingly complex mulberry musk cocoa freesia like flowers elderflower liqueur in aroma and cup balanced in structure sweet tart savory plush lively mouthfeel the resonant finish leads with fruit think berry medley in the short while the long is characterized by spice toned florals and a hint of sweet ferment
116,evaluated as espresso richly floral spice toned lavender baker s chocolate dried strawberry sandalwood lemon zest in aroma and small cup full syrupy mouthfeel dry fruit toned finish with hints of sandalwood in three parts milk chocolate notes turn toward sweet caramel and the spicy floral and dried berry notes amplify
117,evaluated as espresso bright richly sweet fruit and cocoa toned pomegranate dark chocolate narcissus hazelnut vanilla in aroma and small cup plush creamy mouthfeel sweetly tart finish with notes of pomegranate and hazelnut resonant and flavor saturated in three parts milk chocolate and tart fruit lead with narcissus like flowers ringing into the long finish
118,evaluated as espresso rose like flowers chocolate fudge cannabis flower black cherry fresh cut cedar in aroma and small cup syrupy vibrant mouthfeel richly drying sweet savory finish this coffee levitates in three parts milk with rich notes of rose like flowers ensconced in deep chocolate and a cannabis like muskiness
119,evaluated as espresso lush complex richly sweet savory peach fine musk cocoa powder freesia like flowers pungent frankincense in aroma and small cup plump syrupy mouthfeel clean crisp cocoa toned finish the cocoa notes from the small cup bloom into dark chocolate in cappuccino scaled milk nicely complicated by flowers and frankincense
120,evaluated as espresso deeply rich crisply sweet fruit and chocolate toned dried mango chocolate fudge narcissus like flowers roasted almond fresh cut cedar in aroma and small cup lively silky smooth mouthfeel resonant flavor saturated finish the chocolate forward presentation in three parts milk is nuanced by notes of mango and fresh cut cedar
121,sweetly and gently tart lavender brown sugar lemon zest honeydew melon fresh pipe tobacco in aroma and cup delicately sweet tart and juicy in structure lightly syrupy in mouthfeel flavor consolidates but rings on in a resonant finish
122,sweet yet zesty vivacious honey peach ripe lime zest black tea a hint of parsley in aroma and cup sweetly brisk lively in structure light but satiny mouthfeel flavor consolidates around floral honey and peach in a crisply sweet toned finish
123,deeply pungent and richly sweet lavender baker s chocolate oak ripe fig a hint of ginger in aroma and cup roundly sweet tart and juicy in structure full and satiny in mouthfeel baker s chocolate carries distinctly and pleasingly into an otherwise short finish
124,richly low toned gently zesty cedar baker s chocolate grapefruit zest apple a hint of magnolia like flowers in aroma and cup sweetly and quietly tart in structure with a brisk edge plump mouthfeel flavor consolidates in a sweet though rather drying finish
125,spice toned richly sweet deeply savory white peach fine musk freesia almond myrrh in aroma and cup delicate sweet savory structure with bright juicy acidity the resonant richly drying finish leads with white peach and musk in the short rounding to notes of sweet almond with a hint of myrrh in the long
126,balanced richly sweet savory lemon verbena roasted cacao nib date honeysuckle cinnamon in aroma and cup crisply sweet in structure with brisk acidity velvety mouthfeel the sweetly herbaceous finish consolidates to notes of lemon verbena and cocoa toned cinnamon
127,sweetly savory chocolate toned baker s chocolate singed cedar gardenia plum molasses in aroma and cup crisply sweet savory structure delicate satiny mouthfeel the richly drying finish centers around baker s chocolate and pleasantly smoky aromatic wood notes
128,delicately rich crisply sweet star jasmine lemon zest peach sandalwood almond in aroma and cup roundly and sweetly tart in structure lightly silky in mouthfeel lemon peach and sandalwood in particular carry into a long finish deeply layered finish
